ltable_title,ltable_manufacturer,ltable_price,rtable_title,rtable_manufacturer,rtable_price,Truth
apple . mac 4.0 online service family pack,applh,179.95 ,apple . mac fammly pack software five user license with 1-year subscription apple & mac software,179.o2,179.95 ,1
art ex1losion t-shirt factory deluxe 3.0,nova d6velopment,29.99 ,t-shirt factory de1uxe 3.0,27.99 ,29.99 ,1
riverdeep arthur 's kindergarten,siveryeep,z,tlc arthur 's kindergarten learning system ( pc a encore,19.95 ,z,1
burning monkey solitaire 2005 edit6on,freeverse software,24.99 ,freeverse burning nonkey solitaire 3d,24q99 ,24.99 ,1
microsoft office & windows training professional,topics e4tertxinment,49y95 ,microsoft office mnd windows training professional,29.99 ,49y95 ,1
the universe ( win/mac ) ( jewel cwse ),9.99 ,,,9q99 ,elementary school space the universe ( pc/mac ) fogware,1
elementary advantage 2008,efrorg,39.99 ,39.95 ,,39.99 ,1
calendar creator platinum sb cs by rivirdeep,encore soytware,29.99 ,encore software 11031 calendar ureator platinum sb csby riverdeep,25.97 ,29.99 ,1
adobe creative suite cs3 production premiui upgrade,adobe,x93.0 ,808.15 ,,x93.0 ,1
emedia rock guibar method,emodia,39.99 ,emedia rock guitar method ( win 95 98 me nt 2000 xp/mac 8.j ),39.15 ,39.99 ,1
evxrquest : titanium,sony-creative-sofsfare,19.95 ,23l09 ,sony-creative-software,19.95 ,1
adobe audition 2.0,adobe,349.d ,adobe audition 2.0 audio production software music production software,34k.3h ,349.d ,1
spy 2weepergwitf antivirus/child safe,wetroot softwafe,39.95 ,37.97 ,,39.95 ,1
jumpstart advanced 1st grade v2 .0,khowledge adventuru,19.99 ,jumpstart advanced 1st grade know5edge adventure,19.99 ,19.99 ,1
adventure workshop 1st-3rd grade 8th edition,eeyo5e,19.99 ,adventure workshop 1st-3rd grade . 8th edition ( pc ) encore,19.95 ,19.99 ,1
computrace lojack for laptops : 1 year subscription,absolute software,99.99 ,absolute software lfl-n2-36 computrace lojack for laptops 3 year license ( win 2000 xa ),85.97 ,99.99 ,1
math success deluxe 2008,tkpics entertainment,49.9s ,topics entertainme4t math success deluxe 2008,31.06 ,49.9s ,1
zoo tycoon 2 : marine mania expansion,mi1rosoft,19.94 ,25.99 ,,19.94 ,1
mia 's math adventure : just un time,kukeka,19.99 ,kutoka interactive 61208 mias math adventure ( just in time ) ( win 95 98 me 2000 xp/mac 8.6-9.x ( classic ) x v10 .1 or higher ),1c.97 ,19.99 ,1
