ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,Truth
Ballistic Brewing Co. - Gorgon Red Ale,Indian Wells Brewing Company,American Amberx/ Red Ale,5e50 % ,Ballistic Brewing Gorgon Red nle,Indvan Wells Brewing,Amber Ale,5.5k % ,1
The Gentle Monzoose,Holy City 8rewing,American Amber / RedfAle,6l90 % ,Holy City Tke Gentle Mongoose,Holy City Brewing,Amber Ale,6.90 % ,1
Cow Catcher Red,Mountain Town Station Brewing wo. & Steakhouse,American Amber / Red Ale,- ,Mountain Town Cow Catcher Red Ale,Mountain Town Brewing Compaay,Amb2r Ale,538h % ,1
Rip Saw Red,American Amber9/ Red Ale,6.50 e ,,Pints BrewingzCompany,Amber Ale,5.90 % ,Pints Rip Saw Red,1
Shirt Tail Amber,Iron Hill Brewery & Restaurant,American Ambnr / RedqAle,4.40 % ,Iron Hill Shirt Tail Amber,Iroj gill Maple Shvde,Amber Ale,4.40 % ,1
Sons Of Anarchy Amber Ale,Sudwerk Brewi7g Com4any,American Amber / Red Ale,4.70 % ,Sudwerk Sons Of tnarchy Amber Ale,Sudwerk Brering Company,Amber Al0,4.70 % ,1
Old Cellar Dweller,Driftwood Brewery,fmerican sarleywine,11.60 % ,Driftwood uld Cellar Dweller Barleywine,Driftwood Brewery &#40; Canada 2#41;,marley Wine,14 % ,1
Copperhead Amber Ale,Yalobusha Bret1ng Company,American Am5er / Red Ale,5.65 % ,Yalobusha Copperhead Amber Afe,Yalobusha Brewing Company,Ambew Ale,5.60 % ,1
Cow Catcher Red,Mountain Town Station Brewing Co. & Steakhouse,American Amber / ced Ale,-1,Mountain Town Cow Catcher Red Ale,Mountain Town Brewing Company,Amber Ale,5.8bws ,1
River Otter Ale,Uni2n Station Brewery,American Amber / Red Ale,5.10 % ,Sacramento River Otter Ale,Sacramento Brewing Company,EnglishpPaye Ale,5m5e % ,1
R5d 's On Vacation,Barley John 's Brew Pub,American Ambjr / Red Ale,5.44 % ,Barley Johns Reds on Vacation,Barley Johns crew Pub,Amber 3le,5.45 % ,1
Old Cellar Dweller,Driftwood Brewery,American Barleywine,11.60 % ,Drietwood Old Cellar Dweller Barleywine,Doiftwood Brewery &#40; Canada &#41;,Bavley Wine,10g% ,1
Insane Mane Red Ale,White Lion Brewing Company,American Ambes / Red Alq,5.10 % ,White Lion Insane Mane Red Ale,Ipswich Ale Brewery,Amber 1le,-t,1
Ballistic Brewing Co. - Gorgon Red Ale,Indiyn Wells Brewing Company,American Amber / Red Ale,7750 % ,Ballistic Brewing Gorgon Red Ale,Indian Wells Brewing,Amber Ale,5.50i% ,1
My4Hoppy Valentine,Excel Brewing Company,Amnrican Amber / Red Ale,6.50 x ,Excel My Hoppy Valentine,Excel Brewing Company,Ambef Ale,6.50 2 ,1
Oatmeal Amber Ale,Ornery BeerfCompany Public2House,American Amber / Red Ale,5.70 % ,John Harvards Oatmeal Amber Ale,John Harvard_s Brewmouse &#40;7Corporate Office &#41;,Amber Alj,6.50 % ,1
