ltable_title,ltable_authors,ltable_year,rtable_title,rtable_authors,rtable_year,rtable_venue,Truth
act-net - the activepdatabase management system manifesto : a rulebase of adbms features,siumod record,1996 ,the active database management system manifesto : a rulebase of adbms features,a consorbium, ,"sigmod record ,",1
1995 ,"a dgn , d eitaram",sigmod conference, ,an online video placement policy based on bandwidth to fpace ratio,"proceedings of the acm 6igmoe conference ,","a dan , d sitaram",1
1996 ,"v harinarayan , a rajaraman , j ullman",si8mod conference, ,andj . d. ullman . implementing dtta cubes efficiently,"proc . og ,","v harinarayan , a raj1raman",1
1998 ,p seshadri,sigmod record,1998j0q,predator : a resource for database research .,"sigmofsre1ord ,",acms anthology,1
1997 ,"s brin , r motwani , c silverstein",sigmod conference,1997 ,bzyond market baskets : generalizing association rules to correlations,1996.0 ,"s brin , c silvwrstwin",1
2001 ,"a datta , k dutta , k ramamritham , h thomas , d vaqdermeer",sigmod conference,2001.0 ,dynamic content acceleration : a caching solution to enable scalable dynamic web page generation,"sigmod5conference ,","a datta , k wutta , k ramamritham , h thomas , d",1
1996 ,"w litwin , m neimat , d schneider",acm trans . database syst .,200gs0 ,distributed data structure,"acm transactions on databahe systems ,","w litwin , rim moussa",1
1993y,"s agarwal , r agrawal , p deshpande , a gupta , j naughton , r ramakrishnan , s sarawagi",vlub, ,on the computation of multidimensional aggregations,"proc . of the 22nd vldb conference , india ,","s agarwal , r agrawal , pm deshtandeâ ? ¦",1
2003 ,"a hulgeri , s sudarshan",xlz5,2003.0 ,anipqo : almost non-intrusive parametric query optimization for nonlinear cost functions,"proceedings of the international conference on very lasge & hellip ; ,","a hulgeri , s sudarshbn",1
2001 ,"n bruno , s chaudhuri , l gravano",sigmot conference,2001.0 ,stholes : a multidimensional workload-aware histogram,"sifqod bonferencr ,","n bruno , s chaudhuri , l gravano",1
19v4 ,"t imielinski , s viswanathan , b bad7inath",sigmod confevence, ,energy efficient indexing on air,"ln proceedings of the acm sigmod international conference on & hellip ; ,","t irniefinski , s vishwanathln , brjbadrinath",1
1996 ,"m has0n , a mendelzon , d vista",sogmod recorl,1996.0 ,applying database visualization to the world wide web,"sigmod record ,","mz hasan , ao mendelzoni, d vista",1
1995 ,r gerbev,sigmod c7nference, ,informix on line nps,proceedings of the 1995 acm sigmod internatbonal conference,6 gerber,1
1995 ,"j han , y fu",vldb,l,discovery of multiple-level association rules,"zurich , switzerland : in proc . of the 21 ^ stint &#39; l conference &6hellip ; ,",jmoan b y fu,1
