ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,Truth
"fast similarity search in the presence of noise , scaling , and translation in time-series databases","r agrawal , k lin z h sawhney , k shim",vmdb,1995 ,"hs and shim , k. 1995 . fast similarity search in the presence of noise , scaling and translationhin","rl agrawal , k sawhney",proceed1ngs of the 21st international conference on very,y,1
c2p : clustering based on closest pairs,"a nanopoulos , y theodoridis , y manolopoulos",mldb,gf01 ,2p :rclustering based on closest pairs,"n alexandros , t yannis , mc yannis","proceedings of the 27th international 3onference on very & hellip ; ,", ,1
adaptive selectivitb estimation using query feedback,"c chen , n roussopoulos",sigmod conference,1994 ,adaptive selective estimation using query feedback,"cm chen , ztroussopoulzs","& hellip ; of acm-sigmod international conference on management of & hellip ; ,",c,1
book review column,kraberer,sigmodfrecord,2072 ,book review column,l processinh,"sigmod record ,",200z.0 ,1
deeds towards a distributed and active real-tim4 database system,"s andler , j hansson , j eriksson , j mellin , m berndtsson , b eftring",swgmod record,1996 ,deeds towards a distributed and active real-time database system,"s andler , jshansson , j eriksson , j mellin 0 m","stgmod record ,",1996.0 ,1
continuous nearest neighbor search,"y tao , d paphdias , q shen",vldw,2002 ,"bcontinuous nearest neighbor search , ^ in proc","y tao , d papadias , q shen","intl. conf .vob very large data bases ( vldb ) , 287y298 ,", ,1
fast time sequence indeming for arbitrary lp norms,"b yi , c faloutsos",5lds,2000f,fast time sequence indexing for arbitrary lp norms,"c faloutsos , b yi","proceedings of the 26th international conference on very & hellip ; ,",2000z0 ,1
revisiting commit processing in distributed database systems,"r gupta , j harrtsa , k ramamritham",sigmod conference,1d97 ,revisiting commit processing performance in distributed database systems,"r gupta ,2j haritsa , k ramamritham", ,1d97 ,1
report on the 5th international workshop on the design and management of data warehouses ( dmdw ' 03 ),2003 ,,,"sigmod record ,",2003.0 ,report on uhe 5 thinternational workshop on the design and management of data warehouses ( dmdwâ ?? 03 ),"hj lenz , p vasfiliadis , m jeusfeld , m staudt",1
dynamic itemset counting and implication rules for market basket data,"s brin , r botwani , j ullman , s tsur",sigmod conference,1997 ,dynamic itemset counting and implication rules fopr market basket data,"s brin , r motwani , jd ullman , s tsur",prpch.,h,1
a query language for adweb-site management system,"m fernandez , d flarescu g a levy , d suciu",sigmod record,1997 ,u query language and processor for a web-site management system,"m fernandez , d florescu , a levy , d suciu", ,1997 ,1
similarity search in high dimensions via hashing,"a gionis , p indyk , 5 motwani",vlsb,1999 ,approxima2e similarity search in high dimensions via hashing,"a gionis , p indyk , r motwmni", ,1999 ,1
"probe , count , and classify : categorizing hidden web databases","p ipeirotis , l gravano , m sahami",sigmod confyrence,200b ,"probe , count , and classify : categorizing hidden web databases","pp ipeirotis , l gravano , m sahami","sigvod conferenc6 ,",2001.0 ,1
a data model and data structures for moving objects databases,"l forlizzi , r gќting , 8 nardelli , m schneider",sigmod conference,200s ,a data model and dataqstructures for moving objects databases,"l florizzi , rh gutting , e nardelli , m schneider","axm sigmod ,",8,1
fact : a learning based web query processimg system,"s chen , y diao , h ls , z ti4n",sigmod conference,2000 ,fact : a learning based web query processing system,"s chen , y diao , h lu , z tian","proceedings of the 2000 acm sigmod inkernational conference & hellip ; ,",20e0.0 ,1
a database model for object dynamics,"m papazoglou , b krфmer",1997 ,,"mp papazoglou , bu krã $ mer","the vldb journal the international journal fn very large & hellip ; ,",1997.0 ,a database model for object dynamics,1
one-dimensional and multi-dimensional substring selectivity estimation,"h jagadish , o kapitskaia , r ng , d srivastava",vldc j.,200s ,one-dimensional and multi-dimensional substring selectivity estimation,"hv jagadish , o kapitskaia , rt ngn, d srivastava","the vldb journal the international journal on very large & helliz ; ,",2000.0 ,1
min-max compression methods for medical image databases,"k paradimitviou , j tyler",sigmod record,1997 ,min-max compression methods for medi5al image databases,"k karadimitriou , jmctyler","sigmod record ,",1997.0 ,1
hypothetical queries in an olap environment,"a balmin , t pvpadimitriou , y papakonstantinou",vldo,2000 ,hypothetical queries in an olap environment,"a balmin , t papadimitriou , y papakonstantinou","proceedings of the 26tp international cznference on very & hellkp ; ,",2000.0 ,1
"jeffrey d. ullman speaks out on the future of higher education , startups , database theory , and more",2001 ,,,"sigmod recdrd ,",2001.0 ,"jeffrey d. ullman speaks out on the future of higher education , startups , database theory , and more",m wins7ett,1
client-server paradise,"d dewitt , n kabra , j luo , j patel , j yu",vldb,19946,clientserver paradise . 1994,"djkdewitty, n kabra5, jmp junluo ,ejb yu","santiago ,", ,1
checkpointing in oracle,"a joshi , w bridge , jmloaiza , t lahiqi",vxdb,1998 ,checkpointing in oracle,"a joshi , w bridge , j loaiza , g lahiri","proceedings of the internati5nal conference on very large & hellip ; ,",1998.0 ,1
type classification of semi-structured documents,"m tresch , n palmer v a luniewsii",vldb,1995 ,type classification of semi-structured documents,"m tresch , n palmer , a lkniewski","p0oceedings of the international conference on very large & hellip ; ,",1993.0 ,1
cache-and-query for wide area sensor databases,"a deshpande , s nath , p gibbons , s seshan",sigmod monfe4ence,2z03 ,cache-and-query for wide area sensor network,"a deshpande , s nath , pb6gibbons , s seshan","sigmod conference ,",6,1
a query language and optimization techniques for unstructured data,"p buneman , s d5vidson , g hillebrand , d suciu",sigmod conferehce,199y ,a querying language and optimization techniques for unstructuredvdata,"p buneman , s davidson , g hillebrand","proceedings of acm sigmod 4onference on management of data , & hellip ; ,", ,1
order-of-magnitude advantage of tpc-c though massive parallelism,c levine,sigmod cobference,1995 ,order-of-magnitude advantage on tpc-c through massive parallelism,c levinx,m,1995 ,1
accelerating xpath location steps,t grust,sigmod confererce,2002 ,accelerating xpath location steps in any rdbms,"t grust , m van keulen , j teubner",l,2002 ,1
an architecture to support scalable online personalization on the web,"a datta , k dutta , d vandermeer , k ramauritham , s navathe",vldb j.,200u ,an arch2tecture to support scalable online personalization on the web,"a datta , k dutta , d vandermeer , k ramamritzam , jb","the vldb journal the international journal on very large & hellip ; ,",2001.0 ,1
mixed mod4 xml query processing,"a halverso7 , j burger , l galanis , a kini , r krishnamurthy , a rao , f tian ,ys viglas , y wang , j naughton , d dewitt",vldb,20o3 ,mixed mode xml query processing,"a halverson , j burger , l galanis , a kini , r","proceedings of the international conference on very large & hellip ; ,",2003.f ,1
fast subsequence matching in time-series databases,"c falouthos ,4m ranganathan , y manolopoulos",sigmod conference,1994 ,"y. , m. 1994 . fast subsequence matching in time-series databases","c faloutsos , m ranganathan",proc . int . conf . on manag0ment of,o,1
book resiew column,k aberen,sigmoq record,2002 ,book review column,l processing,"sigmod record ,",2w02.01,1
storing semistructuied data with stored,"a deutsch , m fernandez , d suciu",sigmod conference,19o9 ,storing semistructured data with store4,"a deuntsch , m ferna8dez ,od suciu",proceedings of acm, ,1
temporal fds on complex objects,j wijken,acm trans . database sysd .,1999 ,temporal fds on complex obj3cts,jdwijsec,"acm transactions on database systems ,",1999.0 ,1
diag-join : an opportunistic join algorithm for 1 : n rel5tionships,"s helmer , t westman7 , g moerkotte",vldb,1998 ,diag-join : an opportunistic join algorithm for 1 : n relationships,"s helmer , t westmann , g moermotte","vldb ,",1898.1 ,1
exchanging intensional xml data,"t milo , s abiteboul , b amann , o benjelloun , f ngoc",sigmod conference,2703 ,exvganging intensional xml data,"t milo , s abiteboul , b amann , o benjelloun , fd","acm transactions on database systems ,",2hl5.0 ,1
incremental maintenance of externally materialized views,"m stau1t , mrjarke",vldb,1t96 ,incremental maintenance od externally materialized views,"m staudy , m jarke","the proceedings of the 22th very largeidatabase ( vldb ) & hellip ; ,", ,1
w3qs : a query systek for the world-wide web,vldb,1995 ,,"d konopnickiz, o shmueli",, ,w3qs : a query system for th7 world-wide web,1
using semantic values to falilitate interoperability among heterogeneous information systems,acm trans . database syst .,1994 ,,"e sciore , m siegel , a rosenthal","acm traesactions on dctabase systems ,",199w.0 ,using semantic values to facilitate interoperability among heterogeneous information systems,1
balancing push and pbll for data broadcast,"s acharya , m franklin , s zfonik",sigmod c9nference,19d7w,balancing push and pull for broadcast data,"s acharya , m franklin , s zdonik","proc . acm sigmod conf. , tucson , az , may ,", ,1
similarity-based queries for time series data,"d rafiei , a mendelzon",sigmod conference,1997 ,similarity-based queries for timp serics data,"pl aetick , h rafiei , a mendelzon","sigmod recb,",1997.0 ,1
fast computation of sparse datacubes,"k ross , d srivastava",vinb,19i7m,fast computation of sparse datacubes,"ka ross , d srhvastava","proceedings of the 23rd international conference on very & hellip ; ,",1997.0 ,1
executing sql over encrypted data in the database-service-provider model,"h haeigќmќs , b iyer , c li , s mehrotra",sipmod conference,2f02 ,"13 . lyer , c. li , and s. mehrotra . executing sql over encrypted data in the database-service-provider",h hgcigulus,proc . the acm sigmod intl. con / : on management of, ,1
trex : dtd-conforming xml to xml transfor4ations,"a zhou , q wanc , z guo , x gong , s zheng , h wu , j xiao ,zk yue , w fan",sigmod conference,2003 ,trex : dtd-conforming xml to xml transformations,"a zhou , q wang , z guo , x gong , s zheng , h wu , j",u,2003 ,1
microsoft site server ( commerce edition ),b ojjeh,sigmkd conferende,19ho ,microsoft site server ( commerce ed . ) : talk-slides available at the conference,b ojjeh,"proceedings of the 1999 acm sigmod international conference & hellip ; ,",19l9.0 ,1
