ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,Truth
a performance study of transitive closure algorithms sigmod conference,"peter j. haas , joseph m. hellerstein",sigmod conference, ,chain : operator scheduling for memory minimization in data stream systems 2003,won kim,acm sigmod record,2000.0 ,0
data mining with optimized two-dimensional association rules,"sirirut vanichayobon , leonard brown , ravi a. dirckze , sylvain guinepain , carlos sánchez , le gruenwald , brian summers",vldb,2001.0 ,observations on the odmg-93 proposal for an object-oriented database language,"laks v. s. lakshmanan , fereidoon sadri , iyer n. subramanian",acm sigmod record,1996.0 ,0
lore : a database management system for semistructured data sigmod record,"andreas müller , marco pötke , thomas seidl , hans-peter kriegel",vldb,1999.0 ,strudel : a web site management system 1997,"b. p &#244; ssas , m. carvalho , r. resende , w. meita , jr.",acm sigmod record, ,0
"logical design for temporal databases with multiple granularities alexander brodsky , sushil jajodia , claudio bettini , xiaoyang sean wang","michele missikoff , anna formica , hans dietmar gröger",vldb,1999.0 ,a close look at the ifo data model magdy s. hanna,"jihad boulos , kinji ono",acm sigmod record, ,0
mining generalized association rules,"arturo jaime , oscar díaz",vldb, ,"optimizing queries with universal quantification in object-oriented and object-relational databases jens clau &#223; en , alfons kemper , guido moerkotte , klaus peithner","s. bergamaschi , s. castano , m. vincini",acm sigmod record,2002.0 ,0
information finding in a digital library : the stanford perspective,"karl aberer , klemens böhm",sigmod conference,1999.0 ,converting relational to object-oriented databases 1997,"sihem amer-yahia , sophie cluet , claude delobel",acm sigmod record, ,0
"complex queries over web repositories hector garcia-molina , sriram raghavan 2003",z. meral özsoyoglu,vldb, ,data management issues in electronic commerce : guest editor 's introduction acm sigmod record 2002,"rakesh agrawal , giuseppe psaila , edward l. wimmers , mohamed za &#239; t",acm sigmod record,2002.0 ,0
"cache portal : technology for accelerating database-driven e-commerce web sites yusuf akca , cemal yilmaz , k. selçuk candan , wen-syan li , wei-kuang waine huang , qiong luo , divyakant agrawal , wang-pin hsiung , oliver po 2001","gabriella pasi , amihai motro , patrick bosc",vldb,1996.0 ,"tree pattern query minimization s. amer-yahia , s. cho , l. v. s. lakshmanan , d. srivastava the vldb journal -- the international journal on very large data bases","susan d. urban , suzanne w. dietrich , forouzan golshani",acm transactions on database systems ( tods ), ,0
data mining with optimized two-dimensional association rules,"sirirut vanichayobon , leonard brown , ravi a. dirckze , sylvain guinepain , carlos sánchez , le gruenwald , brian summers",acm trans . database syst .,2001.0 ,"sequence query processing praveen seshadri , miron livny , raghu ramakrishnan",praveen seshadri,very large data bases,1999.0 ,0
the ccube constraint object-oriented database system sigmod conference,"geoffrey phipps , marcia a. derr , shinichi morishita",vldb, ,"conceptual schema analysis : techniques and applications s. castano , v. de antonellis , m. g. fugini , b. pernici","gunter schlageter , thomas berkel , eberhard heuel , silke mittrach , andreas scherer , wolfgang wilkes",acm sigmod record,2002.0 ,0
dwms : data warehouse management system narendra mohan,r. g. g. cattell,vldb j., ,congressional samples for approximate answering of group-by queries international conference on management of data,"rakesh agrawal , peter j. haas , jerry kiernan",acm sigmod record,1998.0 ,0
mpeg-7 and multimedia database systems harald kosch 2002,"raghavan komondoor , abraham silberschatz , yuri breitbart , s. seshadri , rajeev rastogi",acm trans . database syst .,1995.0 ,in-memory data management for consumer transactions the timesten approach,"binto george , jayant haritsa",acm sigmod record,2002.0 ,0
constraints for semi-structured data and xml,"james r. hamilton , limsoon wong , kenneth a. ross , laks v. s. lakshmanan",sigmod conference,1995.0 ,parallel algorithms for high-dimensional similarity joins for data mining applications very large data bases 1997,"h. v. jagadish , laks v. s. lakshmanan , tova milo , divesh srivastava , dimitra vista",acm sigmod record, ,0
distributed deviation detection in sensor networks sigmod record 2003,"deok-hwan kim , ju-hong lee , chin-wan chung",vldb, ,"the glue-nail deductive database system : design , implementation , and evaluation marcia a. derr , shinichi morishita , geoffrey phipps 1994",ken ross,acm sigmod record,2002.0 ,0
