ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,Truth
design and implementation of a genetic-based algorithm for data mining s choenni,"s ramaswamy , r rastogi , k shim",vldb,2003.0 ,constraint programming and database query languages,c herot,, ,0
"maintaining data privacy in association rule mining s rizvi , j haritsa vldb","p bonnet , a beaufour , m dydensborg , m leopold",sigmod conference,1998.0 ,"rule-based spatiotemporal query processing for video databases me dã ¶ nderler , ã ? ulusoy , u gã 1/4 dã 1/4 kbay the vldb journal the international journal on very large & hellip ; , 2004.0",d grabiner,,2000.0 ,0
reverse nearest neighbor aggregates over data streams 2002,"m zemankova , y ioannidis",sigmod conference,2003.0 ,"editors ' notes r picciotto , rc rist 1995.0","j noble , d holmes , j potter",,2005.0 ,0
"secure buffering in firm real-time database systems b george , j haritsa vldb",,,1996.0 ,"incomplete information in object-oriented databases r zicari sigmod record ,","f korn , n sidiropoulos , c faloutsos , e siegel , z","sigmod record ,",1997.0 ,0
ptool : a light weight persistent object manager 1995,"d barbarс , h garcia-molina",,1995.0 ,"editorial d hopwood , me boon the histochemical journal , 1988.0",,"information and software technology ,", ,0
introduction to the career forum column sigmod record 2001,"d barbarс , h garcia-molina",sigmod conference,2001.0 ,editor 's notes,,"acm sigmod record ,", ,0
repositories and object oriented databases sigmod record 1998,"s berson , s ghandeharizadeh , r muntz , x ju",vldb,1995.0 ,large scale parallel data mining 2000.0,"fo or861 , d rotem","proc . of 24 thintâ ?? l conf . of vldb ,", ,0
"continuous queries over data streams s babu , j widom sigmod record","n kabra , d dewitt",sigmod conference,2002.0 ,"automated design of multidimensional clustering tables for relational databases h yu , kl ma , j welling international conference on very large databases ,",,, ,0
"chain : operator scheduling for memory minimization in data stream systems b babcock , s babu , m datar , r motwani sigmod conference",,sigmod conference,1998.0 ,incomplete information in relational temporal databases,"sd urban , sw dietrich , f golshani","sigmod record ,",1993.0 ,0
"the network is the database : data management for highly distributed systems j navas , m wynblatt sigmod conference",,,1998.0 ,"data grid management systems proceedings of the 2003 acm sigmod international conference & hellip ; ,","am alashqur , sy su","vldb , proceedings of 24th international conference on very & hellip ; ,", ,0
implementing xquery p cotton sigmod conference,"k wang , y he , j han",sigmod conference,2000.0 ,editors ' notes jh astrachan,"t seidl , hp kriegel",, ,0
"incremental clustering for mining in a data warehousing environment m ester , h kriegel , j sander , m wimmer , x xu vldb 1998",p baumann,sigmod conference,2001.0 ,maintaining security in firm real-time database systems,"m hammer , a chan","vldb ,", ,0
"optimizing disjunctive queries with expensive predicates a kemper , g moerkotte , k peithner , m steinbrunn 1994","m livny , r ramakrishnan , k beyer , g chen , d donjerkovic , s lawande , j myllymaki , r wenger",, ,"efficient timestamping in databases vldb journal , to","p missier , c batini",, ,0
"an efficient algorithm for mining association rules in large databases a savasere , e omiecinski , s navathe","r agrawal , r srikant",vldb, ,optimization techniques for unstructured data,,"proceedings of the international conference on very large & hellip ; ,", ,0
"watermarking relational databases r agrawal , j kiernan",,vldb,2000.0 ,lh * : a scalable distributed data structure . ( nov. 1993 ) . to app,,"lecture notes in computer science ,", ,0
versioning and configuration management in an object-oriented data model,"p seshadri , m livny , r ramakrishnan",vldb j.,1995.0 ,"update semantics for incomplete databases vldb ,","mw whybray , gd morrison , pj mulroy",, ,0
indexing large metric spaces for similarity search queries acm trans . database syst . 1999,,,2001.0 ,a framework for interaction description with roles b paech,"d gunopoulos , g das","sigmod conference ,", ,0
"spatial joins using seeded trees m lo , c ravishankar sigmod conference",,,2003.0 ,"design and implementation of advanced knowledge processing in the kbms krisys , mj carey , da j thomas , s deã?loch , nm mattos",,journal of the learning, ,0
www-udk : a web-based environmental meta-information system,"w labio , h garcia-molina",,2001.0 ,"database research at citri r sacks-davis , k ramamohanarao sigmod record ,","rl benneworth , cd bishop , cjm turnbull , wd holman ,",& hellip ; twenty-eighth international conference on very large data, ,0
"evaluating functional joins along nested reference sets in object-relational and object-oriented databases r braumandl , j clauпen , a kemper vldb 1998",m franklin,,1996.0 ,cure : a clustering algorithm for large databases,"ra as941 , r srikant",, ,0
the mlpq/gis constraint database system sigmod conference,"r meo , g psaila , s ceri",sigmod conference,2002.0 ,an information theory approach to categorical clustering,"hu heiss , r wagner","proc . acm sigmod conf. , wf king , ed. , san jose , calif. , may ,", ,0
"a data model and data structures for moving objects databases l forlizzi , r gќting , e nardelli , m schneider","d barbarс , h garcia-molina",sigmod conference,2001.0 ,"algorithms for mining association rules in bag databases py hsu , yl chen , cc ling information sciencesâ ?? informatics and computer science : an & hellip ; ,",,"acm sigmod record ,", ,0
"unisql 's next-generation object-relational database management system a d'andrea , p janus sigmod record",,vldb,1996.0 ,"near linear time detection of distance-based outliers and applications to security sd bay , m schwabacher","mdj cox , rg davison","vldb ,", ,0
e-services - guest editorial 2001,,,2001.0 ,a deductive and object-oriented database system : why and how ?,"so hvasshovd , se bratsberg , o torbjoernsen","machine learning ,", ,0
lineage tracing for general data warehouse transformations,,acm trans . database syst .,1998.0 ,a database approach for modeling and querying video data cd mohand-saidhacid,"w kim , kc kim , a dale","proceedings , acm-sigmod",2001.0 ,0
accessing a relational database through an object-oriented database interface,"y papakonstantinou , m petropoulos , v vassalos",,1995.0 ,storage and retrieval of xml documents using object-relational databases,kn ngan,"sigmod conference ,", ,0
multi-dimensional selectivity estimation using compressed histogram information 1999,c mohan,,2003.0 ,set-oriented production rules in relational database systems,"r sion , m atallah , s prabhakarl","& hellip ; of the acm sigmod conference , edmonton , alberta , canada ,", ,0
implementation of magic-sets in a relational database system 1994,"i mumick , h pirahesh",sigmod conference, ,"equi-depth histograms for estimating selectivity factors for multi-dimensional queries . acms anthology , p edition","d harel , a pnueli , jp schmidt , r sherman",, ,0
"continuously adaptive continuous queries over streams s madden , m shah , j hellerstein , v raman",,vldb,1998.0 ,"improved histograms for selectivity estimation v poosala , y ioannidis , p haas , e shekita proc . of acm sigmod , montreal , canada ,",,"proceedings of the international conference on very large & hellip ; ,", ,0
"thщmis : a database programming language handling integrity constraints v benzaken , a doucet vldb j.",,, ,"approximate frequency counts over data streams gs manku , r motwani","e nardelli , m schneider , l forlizzi , rh gã 1/4 ting","bt technology journal ,", ,0
"distributed processing over stand-alone systems and applications g alonso , c hagen , h schek , m tresch vldb",,, ,database research at arizona state university 1996.0,", f mata",,1995.0 ,0
enhanced abstract data types in object-relational databases,"j vaghani , k ramamohanarao , d kemp , z somogyi , p stuckey , t leask , j harland",vldb j.,1994.0 ,"mining multiple-level association rules in large databases j han , y fu",v content,, ,0
re-tree : an efficient index structure for regular expressions,,vldb, ,integrity constraints in multidatabase systems rhdkm wong,"a mink , r carpenter","information and software technology ,", ,0
the aditi deductive database system,,vldb j.,1994.0 ,"translating update operations from relational to object-oriented databases pm reppert , fd morgan , mn toksoz , x zhang , j fong information and software technology ,",,, ,0
the implementation and performance of compressed databases,,vldb j.,1998.0 ,research directions in data base management systems,"g ariav , j clifford , m jarke","sigmod record ,", ,0
database research at nthu and itri a chen 1994,,,2001.0 ,a framework for designing materialized views in data warehousing environment,k mockford,"proceedings of acm sigcomm ,",1997.0 ,0
query optimization for selections using bitmaps sigmod conference 1999,"y shyy , j arroyo , s su , h lam",sigmod conference,2001.0 ,"a programming language for object databases a albano , g ghelli , r orsini","y wei , sh son , ja stankovic , kd kang","proceedings of the fourth acm sigact-sigmod symposium on & hellip ; ,", ,0
implementation of magic-sets in a relational database system 1994,"d chatziantoniou , k ross",sigmod conference, ,"distributed query processing in database systems proc . acm sigmod , austin . tx . june ,","p blache , t van rullen","data engineering , 2004 . proceedings . 20th international", ,0
"automatic subspace clustering of high dimensional data for data mining applications r agrawal , j gehrke , d gunopulos , p raghavan sigmod conference",,, ,including group-by in query optimization s chaudhuri 1994.0,,, ,0
"parallelising oodbms traversals : a performance evaluation d dewitt , j naughton , j shafer , s venkataraman vldb j. 1996",,sigmod conference,2001.0 ,efficient incremental view maintenance in data warehouses,e hung,"proc . of the 18th vldb conference ,", ,0
partitioned garbage collection of large object store,,, ,"integrating database and world wide web technologies h lu , l feng","or zaiane , j hanâ ? ¦","sigmod record ,", ,0
"data partitioning and load balancing in parallel disk systems p scheuermann , g weikum , p zabback","m winslett , k smith , x qian",,1995.0 ,1990 . research issues in spatial databases,,, ,0
the algres testbed of chimera : an active object-oriented database system 1995,h zeller,sigmod conference, ,"event specification in an active object-oriented database nh gehani , hv jagadish , o shmueli",ae kaufman,proc . 15th acm sigact-sigmod-sigart symposium on principles, ,0
merge replication in microsoft 's sql server 7.0 sigmod conference 1999,,, ,report from the first international workshop on computer vision meets databasesâ ?? cvdb 2004 2005.0,"r sion , m atallah , s prabhakar",, ,0
the mariposa distributed database management system sigmod record,j sidell,,1996.0 ,data management system for grid and portal services,"e wong , k youssefi","sigmod record ,", ,0
lh * rs : a high-availability scalable distributed data structure using reed solomon codes sigmod conference,r finkelstein,, ,"the design of relational databases h mannila , kj rã $ ihã $ 1992.0","j goldstein , pa larson",proc . acm-sigmod int . conf . on management of data ( sigmod &#39; 97, ,0
"a system for watermarking relational databases r agrawal , p haas , j kiernan sigmod conference",,sigmod conference,2003.0 ,searching in metric spaces,"n van note chism , dj bickford","proceedings of the seventh acm sigact-sigmod-sigart & hellip ; ,", ,0
editor 's notes l liu sigmod record,,vldb,1998.0 ,accommodating imprecision in database systems : issues and solutions a motro,,"information and software technology ,", ,0
