ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,Truth
"catching the boat with strudel : experiences with a web-site management system jaewoo kang , dan suciu , alon y. levy , daniela florescu , mary f. fernandez",,sigmod conference,1998.0,"catching the boat with strudel : experiences with crosstown , dan d. lind , marx y. mitchell , jerry plussar",,sigmod conference,1998.0 𐰰,1.0
"a database index to large biological sequences robert w. irving , ela hunt , malcolm p. atkinson",,vldb,2001.0,"a database index to large biological sequences john h. phillips , john m. phillips , john g. phillips",,vldb,2001.1 𐎂,1.0
using sql to build new aggregates and extenders for object - relational systems 2000,"haixun wang , carlo zaniolo",vldb,,using sql to build new aggregates and extenders for object - relational systems 2000,"haixun wang , carlo zaniolo",vldb,cedentedEARTH date,1.0
data analysis and mining in the life sciences,nam huyn,sigmod record,2001.0,data analysis and mining in the life sciences,nam huyn,sigmod record,nam,1.0
index configuration in object-oriented databases elisa bertino vldb j. 1994,,,,index configuration in object-oriented databases elisa bertino vldb j. 1994,,,umerous,1.0
dynamic multi-resource load balancing in parallel database systems vldb,"robert marek , erhard rahm",,1995.0,dynamic multi-resource load balancing in parallel database systems vldbcol,"robert marek , erhard rahm",,1995.0,1.0
constraint databases : a tutorial introduction 2000,jan van den bussche,sigmod record,,constraint databases : a tutorial introduction 2000,jan van den bussche,sigmod record,_.stl,1.0
"xcache : a semantic caching system for xml queries elke a. rundensteiner , song wang , li chen 2002",,sigmod conference,,"xcache : a semantic caching system for xml queries elke a. rundensteiner , track wang , li chen 2002",,sigmod conference,ONSORED,1.0
"dynamic xml documents with distribution and replication ioana manolescu , serge abiteboul , tova milo , angela bonifati , gregory cobena sigmod conference 2003",,,,"dynamic xml documents with distribution and replication ioana manolescu , serge abiteboul , tova milo , angela bonifati , gregory cobena sigmod conference 2003",,,��,1.0
a case for dynamic view management acm trans . database syst .,"nick roussopoulos , yannis kotidis",,2001.0,a case for dynamic view management acm trans . database syst .,"nick roussopoulos , yannis kotidis",,2009.0 ��,1.0
database performance in the real world - tpc-d and sap r/3 ( experience paper ) 1997,"jochen doppelhammer , donald kossmann , thomas höppler , alfons kemper",sigmod conference,,database performance in the real world - tpc-d and sap r/3 ( experience paper ) 1992,"jochen doppelhammer , donald kossmann , thomas höppler , alfons kemper",sigmod conference,��LOGO,1.0
 ,"jochen doppelhammer , donald kossmann , thomas höppler , alfons kemper",sigmod conference,��LOGO, ," This article was produced by a group of researchers at Stanford University, Stanford Science Center, and the University of California, Berkeley through the Advanced Materials Research Institute's", 1,��LOGO,1.0
 ," This article was produced by a group of researchers at Stanford University, Stanford Science Center, and the University of California, Berkeley through the Advanced Materials Research Institute's",sigmod conference,��LOGO,"haixun wang , carlo zaniolo",vldb,umerable,using sql to build new aggregates and extenders for object - relational systems 2000,1.0
"haixun wang , carlo zaniolo",vldb,,using sql to build new aggregates and extenders for object - relational systems 2000,"on schema matching with opaque column names and data values jaewoo kang , jeffrey f. naughton 2003",,sigmod conference,"_.unimmediate_col [val](text=field, text_value=value) cols , kellen",1.0
"on schema matching with opaque column names and data values jaewoo kang , jeffrey f. naughton 2003",,sigmod conference,,spirit : sequential pattern mining with regular expression constraints vldb,"rajeev rastogi , kyuseok shim , minos n. garofalakis",,"1999.1 𖷊遊字 val lao , lai , laii",1.0
spirit : sequential pattern mining with regular expression constraints vldb,"rajeev rastogi , kyuseok shim , minos n. garofalakis",,1999.0,"replication , consistency , and practicality : are these mutually exclusive ? avishai wool , henry f. korth , yuri breitbart , todd a. anderson",CONFERENCE authors,sigmod conference,1998.0 ��,1.0
"replication , consistency , and practicality : are these mutually exclusive ? avishai wool , henry f. korth , yuri breitbart , todd a. anderson",,sigmod conference,1998.0,"world wide database - integrating the web , corba , and databases kevin smith , athman bouguettaya , mourad ouzzani , james beard , lily hendra , boualem benatallah 1999",,sigmod conference,braska state conference,1.0
"world wide database - integrating the web , corba , and databases kevin smith , athman bouguettaya , mourad ouzzani , james beard , lily hendra , boualem benatallah 1999",,sigmod conference,,"data management for earth system science james frew , jeff dozier sigmod",,,1997.0 _______________________,1.0
"data management for earth system science james frew , jeff dozier sigmod record",,,1997.0,"replication , consistency , and practicality: are these mutually exclusive ? bacos lus , tlana h. korth , yuri breitbart , todd a. anderson",,sigmod conference,"1998.0 outherncolauthors andauthors: are these mutually exclusive? bbw korth , yuri breitbart , todd a. anderson",1.0
"replication , consistency , and practicality : are these mutually exclusive ? avishai wool , henry f. korth , yuri breitbart , todd a. anderson",,sigmod conference,1998.0,optimizing database architecture for the new bottleneck : memory access vldb v.,"peter a. boncz , stefan manegold , martin l. kersten",,2000.0 uania,1.0
optimizing database architecture for the new bottleneck : memory access vldb j.,"peter a. boncz , stefan manegold , martin l. kersten",,2000.0,"catching the boat with strudel : experiences with a web-site management system jaewoo kang , dan suci",,sigmod conference,1998.0 ibrary,1.0
"catching the boat with strudel : experiences with a web-site management system jaewoo kang , dan suciu , alon y. levy , daniela florescu , mary f. fernandez",,sigmod conference,1998.0,"storage estimation for multidimensional aggregates in the presence of hierarchies jeffrey f. naughton , amit shukla , karthikeyan ramasamy , prasad deshpande 1996",,vldb,galitarian,1.0
"storage estimation for multidimensional aggregates in the presence of hierarchies jeffrey f. naughton , amit shukla , karthikeyan ramasamy , prasad deshpande 1996",,vldb,,optimizing database architecture for the new bottleneck : memory access vldb j.,"peter a. boncz , stefan manegold , martin l. kersten",,2000.0 𐆗越 col col1,1.0
optimizing database architecture for the new bottleneck : memory access vldb j.,"peter a. boncz , stefan manegold , martin l. kersten",,2000.0, 1, 1934, , 16:17 𐆗越 col col2,1.0
 ,"peter a. boncz , stefan manegold , martin l. kersten",,2000.0 𐆗越 col col1,everal,using sql to build new aggregates and extenders for object - non-,"haixun wang , carlo zaniolo",vldb,1.0
 , 1934,,2000.0 𐆗越 col col1,Title :,"martin staudt , yannis vassiliou , manfred a. jeusfeld , stella gatziu",,�Val 2013 cols-col@locomat.gov [email protected],1.0
 , 1934, ,2000.0 𐆗越 col col1,index configuration in database ELIPSE,,,INSTANCE author NAME YEAR,1.0
 , 1934, , 16:17 𐆗越 col col2,"optimizing queries using materialized views : a practical , scalable solution per-åke larson , jonathan goldstein sigmod conference",,,2001.0 VIDIA,1.0
,using sql to build new aggregates and extenders for object - relational systems 2000,"haixun wang , carlo zaniolo",vldb,using urls to build new extenders - relational systems 1999,"james freder , martin mackison JR",vldb,_.html3.js - relational systems 1998,1.0
design and management of data warehouses : report on the dmdw '99 workshop sigmod record 1999,"martin staudt , yannis vassiliou , manfred a. jeusfeld , stella gatziu",,,incremental organization for data recording,"s. sudarshan , p. p. s. narayan , rama kanneganti , h. v. jagadish , s. seshadri",vldb,1997.0 ܕܕܕܧ (1995) .,1.0
index configuration in object-oriented databases elisa bertino vldb j. 1994,,,, , SOUTH CAROL, 1, REGISTERMENTS:,1.0
"optimizing queries using materialized views : a practical , scalable solution per-åke larson , jonathan goldstein sigmod conference",,,2001.0,nam huyn,sigmod record,1994.1 ItemThumbnailImage,data analysis and mining in the life sciences,1.0
using sql to build new aggregates and extenders for object - relational systems 2000,"haixun wang , carlo zaniolo",vldb,,semantic data caching and replacement 1996,"björn þór jónsson , shaul dar , divesh srivastava , michael tan , michael j. franklin",vldb,��,1.0
incremental organization for data recording and warehousing,"s. sudarshan , p. p. s. narayan , rama kanneganti , h. v. jagadish , s. seshadri",vldb,1997.0,"storage estimation for multidimensional aggregates in the presence of hierarchies laura g. naughton , amit shukla , karthikeyn ramasamy , prasad deshpande , aubankaraja nishadhi 2009",,vldb,𐐕��,1.0
 ,"s. sudarshan , p. p. s. narayan , rama kanneganti , h. v. jagadish , s. seshadri",vldb,1997.0 ܕܕܕܧ (1995) .,xcache : a,,sigmod conference,cedented,1.0
 , MOUSCASON - MARCH 10. 2006,vldb,1997.0 ܕܕܕܧ (1995) .,a probabilistic relational model and algebra acm trans . database syst .,"debabrata dey , sumit sarkar",,1996.0 !!!,1.0
 , MOUSCASON - MARCH 10. 2006, ,1997.0 ܕܕܕܧ (1995) .,"metu interoperable database system emergent kilic , pinar koksal , cem evrendilek , ugur halici , sema mancuhan , n. kesim , asuman dogac , cevdet d",,,1995.1 ��,1.0
 , MOUSCASON - MARCH 10. 2006, , REGISTERMENTS:,dynamic multi-resource load balancing in parallel database systems vldb,"robert marek , erhard rahm",,1995.0 ����,1.0
 , MOUSCASON - MARCH 10. 2006, , REGISTERMENTS:, ," [{article,author,article} [url= {article text= {color:green", 1,1995.0 ����,1.0
 , SOUTH CAROL, , REGISTERMENTS:,,sigmod record,1995.0 vironmental,a close look at the ifo data model magdy s. hanna,1.0
nam huyn,sigmod record,2001.0,data analysis and mining in the life sciences,dynamic multi-resource load balancing in parallel database systems vldb,"robert marek , erhard rahm",,1995.0 ��,1.0
semantic data caching and replacement 1996,"björn þór jónsson , shaul dar , divesh srivastava , michael tan , michael j. franklin",vldb,,"replication , consistency , and practicality : are these mutually exclusive ? ikantje , jan j. , p. t. , r. k.",,sigmod conference,1998.0 imilian ili khodian,1.0
"storage estimation for multidimensional aggregates in the presence of hierarchies jeffrey f. naughton , amit shukla , karthikeyan ramasamy , prasad deshpande 1996",,vldb,,"catch the boat with strudel : experiences with a web-site management system jaewoo kang , dan suciu , alon y. lev , daniela f. fernandez",,sigmod conference,1998.0 ����‍♪,1.0
"xcache : a semantic caching system for xml queries elke a. rundensteiner , song wang , li chen 2002",,sigmod conference,,"static xml documents with distribution and replication memen pommert jaan sokkova-bacchii ARAMARAS, MARYLAND, NY, U.C., 1992",,,enei,1.0
a probabilistic relational model and algebra acm trans . database syst .,"debabrata dey , sumit sarkar",,1996.0,"issues in developing very large data warehouses vish jumani , lyman do , david van rossum , pamela draw",,,1998.0 ��,1.0
"metu interoperable database system ebru kilic , pinar koksal , cem evrendilek , ugur halici , sema mancuhan , n. kesim , asuman dogac , cevdet dengi , sena nural , gökhan özhan , fatma ozcan , ismailcem budak arpinar sigmod record",,,1995.0,database performance in the real world - tpc-d and sap r/3 ( experience paper ) 1997,"jochen doppelhammer , donald kossmann , thomas höppler , alfons kemper",sigmod conference,umerous,1.0
dynamic multi-resource load balancing in parallel database systems vldb,"robert marek , erhard rahm",,1995.0, 1, Summary, , In August 2011 the Journal of Geophysical Research: Solid Earth Systems published a paper,1.0
