ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,Truth
"infering structure in semistructured data rajeev motwani , serge abiteboul , svetlozar nestorov sigmod record",,,1997.0,the ccube constraint object-oriented database system acm trans . database syst .,,international conference on management of data,,0
accessing a relational database through an object-oriented database interface vldb 1995,"jack a. orenstein , d. n. kamber",,,mining the association term in relational databases,"nick roussopoulos , lohman f. ihn",,,0
"mv3r-tree : a spatio-temporal access method for timestamp and interval queries dimitris papadias , yufei tao vldb 2001",,,,"query processing and optimization in object-oriented databases leonidas fegaras , raymond t. ng , michael j. franklin 2002",,acm sigmod record,,0
"reminiscences on influential papers theodore johnson , amr el abbadi , richard t. snodgrass , kenneth a. ross 2002",,sigmod record,,an approximate query with nearest neighbor queries omg nesime tatbul 2000,,acm sigmod record,,0
"effective timestamping in databases christian s. jensen , kristian torp , richard t. snodgrass vldb j. 2000",,,,the ccube constraint object-oriented database system brian cooper 1999,,acm sigmod record,,0
evaluating functional joins along nested reference sets in object-relational and object-oriented databases vldb,"alfons kemper , reinhard braumandl , jens claußen",,1998.0,"concurrency control in active object-relational databases daniel a. keim , roland schuster",,acm sigmod record,,0
database research at arizona state university sigmod record 1996,"suzanne w. dietrich , forouzan golshani , susan darling urban",,,database research at dakota-x database university,,,,0
combining fuzzy information : an overview ronald fagin sigmod record,,,2002.0,the database research group at rupaul university,,,1994.0 ectodb,0
on completeness of historical relational query languages acm trans . database syst .,"james clifford , albert croker , alexander tuzhilin",,1994.0,query processing techniques and applications in a warehousing environment vldb j.,jeff sidell,,,0
"index nesting - an efficient approach to indexing in object-oriented databases jiawei han , beng chin ooi , hongjun lu , kian-lee tan",,vldb j.,1996.0,book review column kim lee,,acm sigmod record,,0
an introduction to spatial database systems vldb j.,ralf hartmut güting,,1994.0,an introduction to multimedia databases vldb j.,"richard snodgrass , nick holler",,,0
"progressive approximate aggregate queries with a multi-resolution tree structure iosif lazaridis , sharad mehrotra",,sigmod conference,2001.0,a new class of predicate-based query optimization algorithms acm trans . database syst .,"alfons kemper , marek p. namrotra",,,0
finding intensional knowledge of distance-based outliers vldb 1999,"raymond t. ng , edwin m. knorr",,,"accessing relational databases through a relational database interface b. sreenath , s. seshadri , s. sudarshan , p. w. yu",,very large data bases,,0
the structured information manager : a database system for sgml documents ron sacks-davis vldb,,,1996.0,object-oriented and object-relational databases,"joseph mong-ri soo , alon y. levy",the vldb journal -- the international journal on very large data bases,,0
"an extensible notation for spatiotemporal index queries richard t. snodgrass , vassilis j. tsotras , christian s. jensen",,sigmod record,1998.0,efficient similarity search of large datasets for spatial queries the vldb journal -- the international journal on very large data bases 1996,"thomas widmann , philip w. yu , klaus erwigmann",sigmod record,,0
book review column karl aberer sigmod record,,,2002.0,a foundation for multi-database parallelism in a relational database systems,"shahram k. subrahmanian , mirek raghavan",acm sigmod record,,0
"vxmlr : a visual xml-relational database system aoying zhou , wenyun ji , shihui zheng , hongjun lu , yuqi liang , zengping tian , long zhang vldb 2001",,,,temporal integrity constraint resolution in object-oriented databases edward omiecinski,,sigmod conference,,0
"supporting top-k join queries in relational databases walid g. aref , ahmed k. elmagarmid , ihab f. ilyas vldb 2003",,,,distributed transaction processing international conference on management of data,,,,0
query processing techniques for arrays 2002,"arunprasad p. marathe , kenneth salem",vldb j.,,"secure locking of semistructured data using locking semistructured data structures chan man , richard snodgrass 2002",,vldb,,0
maintenance of data cubes and summary tables in a warehouse sigmod conference,"inderpal singh mumick , dallan quass , barinderpal singh mumick",,1997.0,"query optimization in tertiary memory environments alan s. wang , praveen seshadri 1994",,acm transactions on database systems ( tods ),,0
locating data sources in large distributed systems vldb,"david j. dewitt , leonidas galanis , shawn r. jeffery , yuan wang",,2003.0,databases for web application servers very large data bases,,vldb,,0
"cure : an efficient clustering algorithm for large databases sudipto guha , rajeev rastogi , kyuseok shim 1998",,sigmod conference,,"optimization of distance-based categorical queries using generalized association rules surajit chaudhuri , jeffrey f. naughton",,acm sigmod record,,0
a database system for real-time event aggregation in telecommunication vldb,"henry f. korth , jerry baulier , abraham silberschatz , stephen blott",,1998.0,report on international workshop on electronic commerce ( rend ) 2002,,acm sigmod record,,0
