ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,Truth
vist : a dynamic index method for querying xml data by tree structures sigmod conference 2003,"h wang , s park , w fan , p yu",,,vist : a dynamic index method for querying xml data by tree structures sigmod conference 2003,"h wang , s park , w fan , p yu",,�� _ (,1.0
a close look at the ifo data model sigmod record,m hanna,,1995.0,a close look at the ifo data model sigmod record,m hanna,,1995.0 ibrary,1.0
template-based wrappers in the tsimmis system 1997,"j hammer , h garcia-molina , s nestorov , r yerneni , m breunig , v vassalos",sigmod conference,,template-based wrappers in the tsimmis system 1997,"j hammer , h garcia-molina , s nestorov , r yerneni , m breunig , v vassalos",sigmod conference,��,1.0
maintaining coherency of dynamic data in cooperating repositories vldb,"s shah , k ramamritham , p shenoy",,2002.0,tsa .,"s shah , k ramamritham , pl k rikkanhol",,2002.0 braska,1.0
hierarchical compact cube for range-max queries,"s lee , t ling , h li",vldb,2000.0,hierarchy compact cube for range-max queries,"t ling , h li",vldb,2000.0 GENESCAPE,1.0
hierarchical compact cube for range-max queries,"s lee , t ling , h li",vldb,2000.0,hierarchical compact cube for range-max queries,"r l leon , m l",vldb,2000.0 ��,1.0
"exploratory mining and pruning optimizations of constrained association rules r ng , l lakshmanan , j han , a pang 1998",,sigmod conference,,"exploratory mining and pruning optimizations of constrained association rules r c o , d , l lakshmanan , j han , a pang 1998",,sigmod conference,��,1.0
protdb : probabilistic data in xml vldb 2002,"a nierman , h jagadish",,,The data used is extracted from a variety of large databases and then sorted and classified into,"a nierman , h jagadish",,��,1.0
protdb : probabilistic data in xml vldb 2002,"a nierman , h jagadish",,,protdb : probabilistic data in xml vldb 2002,h jagadish,,Michigan,1.0
automatic discovery of language models for text databases,"j callan , m connell , a du",sigmod conference,1999.0,automatic discovery of language models for text databases,"j callan , m connell , a du",sigmod conference,1999.1 ��.3 ��.1 ��.1 catalog_list,1.0
design and implementation of advanced knowledge processing in the kdms krisys ( demonstration description ),"j thomas , s deпloch , n mattos",sigmod conference,1995.0,design and implementation,"j thomas , s deпloch , n mattos",sigmod conference,1993.0,1.0
repositories and object oriented databases sigmod record 1998,p bernstein,,,repositories and object oriented databases sigmod record 1998,p p bernstein,,VIDIA-C++,1.0
roadrunner : towards automatic data extraction from large web sites,"v crescenzi , g mecca , p merialdo",vldb,2001.0,cartind,"v crescenzi , g mecca , p merialdo",vldb,1994 { TITLE,1.0
"estimating the selectivity of spatial queries using the ` correlation ' fractal dimension a belussi , c faloutsos vldb",,,1995.0,"estimating the selectivity of spatial queries using the ` correlation ' fractal dimension a belussi , c falouts",,,1991.3 ��,1.0
the dangers of replication and a solution 1996,"j gray , p helland , p o'neil , d shasha",sigmod conference,,the hazards of replication and a solution 1996,"j gray , p helland , p o'neil , d shasha",sigmod conference,Literature-Science,1.0
roadrunner : towards automatic data extraction from large web sites,"v crescenzi , g mecca , p merialdo",vldb,2001.0,roadrunner : towards automatic data extraction from large web sites,"v crescenzi , g me",vldb,2001.0 ��,1.0
view maintenance in a warehousing environment,"y zhuge , h garcia-molina , j hammer , j widom",sigmod conference,1995.0,View maintenance in a warehousing environment,"y zhuge , h garcia-molina , j hammer , j widom",sigmod conference,1995.0 �� TITLE,1.0
a content-based multimedia server for massively parallel architectures 1996,"w o'connell , i ieong , d schrader , c watson , g au , a biliris , s choo , p colin , g linderman , e panagos , j wang , t walters",sigmod conference,,a content-based multimedia server for massively parallel architectures 1996,"w o'connell , i ieong , d schrader , c watson , g au , a biliris , s choo , p colin , g linderman , e panagos , j wang , t walters",sigmod conference,val val o'the_gale,1.0
vist : a dynamic index method for querying xml data by tree structures sigmod conference 2003,"h wang , s park , w fan , p yu",,,viz vist : a dynamic index method for querying xml data by trees sigmod conference 2002,"h wang , s park , w fan , p yu",,ILAB_TITLE,1.0
stream : the stanford stream data manager,"a arasu , b babcock , s babu , m datar , k ito , i nishizawa , j rosenstein , j widom",sigmod conference,2003.0,stanford stream data manager,"a arasu , b babcock , s babu , m datar , k ite , i nishizawa , j rosenstein , j widom",sigmod conference,2003.0 e.a.p,1.0
eliminating fuzzy duplicates in data warehouses,"r ananthakrishna , s chaudhuri , v ganti",vldb,2002.0,deleting duplicates from database databases,ranagram . chalakrishna,stu Kaul M Kumar,1992.15 ��,1.0
"design , implementation , and performance of the lham log-structured history data access method vldb 1998","p muth , p o'neil , a pick , g weikum",,,"design , implementation , and performance of the lham log-structured history data access method vldb 1998",authors,,outhern,1.0
describing and using query capabilities of heterogeneous sources vldb,"v vassalos , y papakonstantinou",,1997.0,describing and using query capabilities of heterogeneous sources vldb,"v vassalos , y papakonstantinou",,1997.0 iel,1.0
"data and knowledge base research at hong kong university of science and technology p drew , b hamidzadeh , k karlapalem , a kean , d lee , q li , f lochovsky , c shum , b wќthrich sigmod record 1995",,,,"data and knowledge base research at hong kong university of science and technology p draw , b hamidzadeh , k karlapalem , a kean , d lee",,,paralleled,1.0
optimization of queries with user-defined predicates 1996,"s chaudhuri , k shim",vldb,,optimization of queries with user-defined predicates 1996,"s chaudhuri , k shim",vldb,"VIDIA graphics primitives for a number of different graphics platforms, with the exception of the CUDA platform 2000 R",1.0
"xsb as an efficient deductive database engine k sagonas , t swift , d warren",,sigmod conference,1994.0,"xsb as an efficient indexing database engine k sagonas , t swift , d warren",,sigmod conference,1995.0  Meier,1.0
the implementation and performance of compressed databases,"t westmann , d kossmann , s helmer , g moerkotte",sigmod record,2000.0,the implementation and performance of compressed databases,"t westmann , d kossmann , s helmer , g moerkotte",sigmod record,2000.0 2012,1.0
