ltable_title,ltable_category,ltable_brand,ltable_modelno,ltable_price,rtable_title,rtable_category,rtable_brand,rtable_modelno,rtable_price,Truth
xerox 108r00602 maintenance kit printers 110.84,,xerox,108r00602,,xerox 108r00602 16-sheet toner 15400 page-yield black,,xerox,,18.88 �,0
lexmark prospect pro205 wireless-n all-in-one printer scanner copier fax lexmark pro205,printers,lexmark,,128.54,lexmark 10a1227a-020-10p,,,10a1227a-020-10p,13.88,0
da-lite da-glas deluxe rear projection screen - 40 1 4 x 53 3 4 video format da-lite 27655 1752.99,electronics - general,,,,da-lite 27638 da-glas deluxe rear projection screen - 96 x 120 av format da-lite 27587 1752.99,,,,,0
motorola h17 bluetooth headset 89334m,electronics - general,motorola,,38.84,motorola h17 silver bluetooth headset 69.88,hl wireless headset supplies,motorola,84343m,,0
hp color laserjet 4600 smart print cartridge magenta printers,,hp,c9723a,234.84,hp 9-port standard 14c x 24-5,,hp,c9723a,44.44,0
kodak easyshare m552 dark pink 14mp digital camera w 5x optical zoom 2.7 lcd display w 50 bonus prints kodak,digital cameras,,m552pink,94.54,amzer wireless m552 digital camera with 5x manual video and 2x optical zoom lcd blue,cameras,amzer,kx-tga647n1b,,0
logitech m305 wireless mouse black,mice,logitech,910-001752,29.73,logitech wireless mouse magenta mice sandisk m305w10-001752 17.18,,logitech,910-001820,,0
peerless plasma screen pedestal with rotation and tilt pedestal only peerless col510p 298.99,tv accessories,,,,peerless 9092529,,,,,0
v7 25 cat5e snagless network patch cable yellow v7 6.88,electronics - general,,v7n3c5e-25f-ylws,,v7 cat5e snagless snagless network patch cable purple computers accessories,,v7,v7n3c5e-25f-ylws,,0
amzer super clear screen protector with cleaning cloth for blackberry playbook 6pk electronics - general amzer,,,amz90548,9.88,amzer super clear screen protector with cleaning cloth for blackberry playbook 7pk,,,amz90548,,0
da-lite matte white deluxe model b manual screen - 60 x 80 video format electronics - general 188.99,,da-lite,74698,,da-lite deluxe model c manual screen - 60 x 80 video format electronics - general,,,,,0
