ltable_Song_Name,ltable_Artist_Name,ltable_Album_Name,ltable_Genre,ltable_Price,ltable_CopyRight,ltable_Time,ltable_Released,rtable_Song_Name,rtable_Artist_Name,rtable_Album_Name,rtable_Genre,rtable_Price,rtable_CopyRight,rtable_Time,rtable_Released,Truth
 , RAW Paste Data, , Colored Out Vol. 1 - 2.0 [1], 1,"See You Again Elle King 2014 RCA Records , a division of Sony Music Entertainment 13-Feb-15",,Love Stuff,"Alternative , Music , Rock",$ 1.29,,3:26,,"See You Again Elle King 2014 RCA Records , a division of Sony Music Entertainment 13-Feb-15",,Col Dance Humor,1.0
"Cowboy Boots Macklemore & Ryan Lewis The Heist $ 1.29 2012 Macklemore , LLC . 4:15 9-Oct-12",,,"Hip-Hop , Music,Hip-Hop / Rap , Rap , West Coast Rap , Alternative Rap",,,,,"Cowboy Boots Mackle10 & Ryan Lewis The Heist $ 1.29 2012 Macklemore , LLC . 4:15 9-Oct-12",,,"Hip-Hop , Music,Hip-Hop / Rap / Rap , Rap , West Coast Rap , Alternative Rap",,,,itolcolSongName,1.0
"The Whisperer ( feat . Sia ) David Guetta Listen Dance , Music , Electronic , House , Rock , French Pop $ 1.29 3:54",,,,,"2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved",,24-Nov-14,"The Whisperer ( feat . Sia ) David Guetta Listen Dance , Music , Electronic , House , Rock , French Pop $ 1.29 3:54",,,,,"2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved",,24-Nov-14 tainty,1.0
"True Colors ( feat . Nicki Minaj ) Wiz Khalifa Blacc Hollywood Hip-Hop/Rap , Music , Rap , East Coast Rap , Hardcore Rap , Rock 19-Aug-14",,,,$ 1.29,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,4:15,,,,,,$ 1.29,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,4:15,ilaterally,1.0
"See You Again Elle King 2014 RCA Records , a division of Sony Music Entertainment 13-Feb-15",,Love Stuff,"Alternative , Music , Rock",$ 1.29,,3:26,,"See You Again Elle King 2014 RCA Records , a division of Sony Music Entertainment 13-Feb-15",,Love Stuff,"Alternative , Music , Rock",$ 1.29,,3:26,INSTITUTION,1.0
"Happily One Direction Midnight Memories ( Deluxe Edition ) Pop , Music , Rock , Teen Pop , Pop/Rock , Dance $ 1.29 2:55 25-Nov-13",,,,,‰ ãÑ 2013 Simco Limited under exclusive license to Sony Music Entertainment UK Limited,,,"Happily One Direction Midnight Memories ( Deluxe Edition ) Pop , Music , Rock , Teen Pop , Pop/Rock , Dance $ 1.29 2:55 25-Nov-13",,,,,‰ ãÑ 2013 Simco Limited under exclusive license to Sony Music Entertainment UK Limited,,,1.0
"Cowboy Boots 2012 2012 Macklemore , LLC . 4:17",Macklemore & Ryan Lewis,The Heist,"Hip-Hop/Rap , Music , Rap , West Coast Rap , Alternative Rap , Rock",$ 1.29,,,9-Oct-12,"Cowboy Boots 2012 2012 Macklemore , LLC . 4:17",Macklemore & Ryan Lewis,The Heist,Hip-Hop/,$ 1.29,,,9-Oct-12 iola,1.0
"The Legend Of Zelda ( Electrixx Remix ) Zedd The Legend Of Zelda - Single Dance , Music $ 0.99 6:09",,,,,"2011 Bazooka , a division of zooland Music GmbH",,27-May-11,"The Legend Of Zelda ( Electrixx Remix ) Zedd The Legend Of Zelda - Single Dance , Music $ 0.99 6:09",,,,,"2011 Bazooka , a division of zooland Music GmbH",,"27-May-11 ibliquaA-L-6_B-12-01_-POD - VED, Music $ 0.99 6:09",1.0
Thriller ( Live From Hammersmith Palais ),Fall Out Boy,Infinity On High ( Deluxe Edition ),"Alternative , Music , Rock , Adult Alternative , Punk",$ 0.99,2007 The Island Def Jam Music Group,3:32,20-Nov-07,Thriller (Live From Hammersmith Palais ),Fall Out Boy,Infinity On High ( Deluxe Edition ),"Alternative , Music , Rock , Adult Alternative , Punk",$ 0.99,2007 The Island Def Jam Music Group,3:33,20-Nov-07,1.0
Old Blue Chair 3:23,Kenny Chesney,When the Sun Goes Down,"Country , Music , Contemporary Country , Urban Cowboy",$ 1.29,2004 Sony Music Entertainment,,1-Jan-90,Old Blue Chair 3:23,Kenny Chesney,When the Sun Goes Down,"Country , Music , Contemporary",$ 1.29,2004 Sony Music Entertainment,,1-Jan-90 ili,1.0
