ltable_title,ltable_manufacturer,ltable_price,rtable_title,rtable_manufacturer,rtable_price,Truth
fisher-price rescue heroes : lava landslide,knowledge adventure,,fisher-price rescue heroes : lava landslide,knowledge adventure,�,1.0
zoo tycoon 2 ( mac ),destineer,39.99,zoo tycoon 2 ( mac ),destineer,38.99 ��,1.0
instant immersion language lab deluxe edition,topics entertainment,,title,topics entertainment,indian language $4.95,1.0
photo explosion 3.0,nova development,29.99,photo explosion 3.0,nova development,29.99,1.0
adobe after effects professional 6.5 upgrade from standard to professional,adobe,499.99,adobe after effects professional 6.5 upgrade from standard to professional,adobe,499.99,1.0
cosmi talking math & more for kids ( windows ),cosmi,,cosmi,color,,1.0
chicken hunter : license to grill the great poultry race,encore,9.99,chicken hunter : license to grill the great poultry race,encore,9,1.0
microsoft visual studio team suite 2005 with msdn premium ( cd & dvd ),microsoft,10949.0,microsoft visual studio team suite 2005 with msdn premium ( cd & dvd ),microsoft,11084.98,1.0
valuesoft tune transfer for ipod software for windows xp,valuesoft,29.95,valuesoft tune transfer for ipod software for windows xp,valuesoft,29.95 之,1.0
more brain games,csdc,9.99,more brain games,csbc,29.99 ONSORED,1.0
elementary school advantage 2007,encore software,29.99,middle school advantage 2009,encore software,29.99,1.0
microsoft licenses project svr sa govt ( h2200301 ),microsoft licenses,3601.4,microsoft licenses project svr sa govt ( h2200301,microsoft licenses,3401.4 ��,1.0
mcsa/mcse self-paced training kit ( exams 70-292 & 70-296 ) upgrading your certi,microsoft,70.0,jpeg/mtl,microsoft,89.95 ibabaCol title,1.0
tlc dr. seuss reading learning system 2008,encore,19.99,n. c i-c omnico software for personal computers,encore,19.99 cine-,1.0
cyberchase adventures : carnival chaos and casablanca quest,brighter-minds-media-inc .,19.99,digital games : d3-1,bright colors,19.99 ��,1.0
gsp crossword addict,global-software-publishing-north-america-inc,9.99,gsp crossword addict,global-software-publishing-north-america-inc,09.99 �,1.0
instant immersion italian 2.0,topics entertainment,29.99,game,online stores,29.99 代にて伊ち幻想語,1.0
microsoft visio standard 2007,microsoft,259.95,microsoft visio standard 2006,microsoft,$89.99 FTWARE,1.0
i love the usa,global-software-publishing,9.99,i love the,global-software-publishing,9.99,1.0
super collapse 3,mumbo jumbo,19.99,クローレキョン 3,mumbo jumbo,18.99 ��,1.0
hoyle card games 2007,encore software,19.99,hoyle logo games 1996,encore software,19.99 cola tag,1.0
f-secure internet security 2007 3 pcs,global-marketing-partners,79.99,f-secure internet security 2008 2 pcs,global,49.95,1.0
onone software intellihance pro 4.1,onone software,,onone software intellihance pro 4.1,onone software,��,1.0
quickbooks pos : pro multistore 6.0,intuit inc.,1399.95,quickbooks pos : multistore 6.2,intuit inc.,1599.95,1.0
wild photo effects ( jewel case ),on-hand-software,9.99,wild photo effect ( jewel case ),on-hand-software,9.99,1.0
adobe creative suite cs3 production premium,adobe,1699.0,bid $17.99 title,adobe,1699.0 代表八版 verdant,1.0
singleclick network now ! pro,encore software,39.99,physical edition,digital DEC value,4.99,1.0
live bingo,imagination-international-corp,,sellbaz,imagination-international-corp,,1.0
