ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,Truth
Hooligan Amber Ale,Bentley Brewing Company / Dark Horse Tavern,American Amber / Red Ale,6.00 %,Belgian Wild Ale,Biscuit Beer Co. / VH Lager,English-Style / Dark Ale,6.00 % vironmentallay.xml . IPA Style,1.0
Buckleys Original Ale,Buckley 's Beers,American Amber / Red Ale,4.50 %,Buckleys Original Ale,Buckley 's Beers,American Amber / Red Ale,"4.50 % BASICS CATEGORY Citra, Citra, Citroe",1.0
5 Star Amber Ale,The Civil Life Brewing Company,American Amber / Red Ale,5.00 %,5 Star Amber Ale,The Civil Life Brewing Company,American Amber / Red Ale,5.00 % 𨹎,1.0
Sierra Amber Ale,Silver Peak Restaurant & Brewery,American Amber / Red Ale,4.50 %,Sierra White Ale,Gold Peak Restaurant & Brewery,European Amber / White Ale,4.50 % *****************************  ************************!  ************************!  ************************!  ************************,1.0
5 Star Amber Ale,The Civil Life Brewing Company,American Amber / Red Ale,5.00 %,6 Star Anheuser-Busch InBev Beer,The German Shekel (Budapest).,American Pale Ale,5.00 % 𐳄티펼션,1.0
Sierra Amber Ale,Silver Peak Restaurant & Brewery,American Amber / Red Ale,4.50 %,Sierra Amber Ale,Silver Peak Restaurant & Brewery,American Amber / Red Ale,4.50 % 𠆯 𠆯 𠆯 𠆯 �,1.0
MovAmber Moustache Ale,Bull City Burger And Brewery,American Amber / Red Ale,-,MovAmber Moustache Ale,Bull City Burger And Brewery,American Amber / Red Ale,- ༼ຈل͜ຈ༽ຈ༽ノ,1.0
5 Star Amber Ale,The Civil Life Brewing Company,American Amber / Red Ale,5.00 %,5 Star Amber Ale,The Civil Life Brewing Company,American Amber / Red Ale,5.00 % ソイダー ポケモリーのステード モケモリーのテ,1.0
MovAmber Moustache Ale,Bull City Burger And Brewery,American Amber / Red Ale,-,Spicy American IPA,Chippy Belgian Wines and Beer,American Amber / Amber,- 𒥖����𦔀𖱵 (Tours,1.0
Rock Steady Red,The Rock Wood Fire Pizza & Brewery,American Amber / Red Ale,5.00 %,Rock Steady Red,The Rock Wood Fire Pizza & Brewery,American Amber / Red Ale,6.00 % irez,1.0
Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 % idently,1.0
Rock Steady Red,The Rock Wood Fire Pizza & Brewery,American Amber / Red Ale,5.00 %,The Rock Wood Fire Pizza & Brewery,Belgian Amber,American Amber / Red Ale,5.00 % 𓅑,1.0
 ,Belgian Amber,American Amber / Red Ale,5.00 % 𓅑, , Bitter Citra Wheat, 1,5.00 % 𓅑,1.0
 , Bitter Citra Wheat,American Amber / Red Ale,5.00 % 𓅑,Willimantic Brewing Co. .,American Amber / Red Ale,5.20 % AMERICAN AEROGY,Willimantic Riverfest Red,1.0
Willimantic Brewing Co. .,American Amber / Red Ale,5.20 %,Willimantic Riverfest Red,MovAmber Moustache Ale,Oak Street Burger AND Brewery,American Amber / White Ale,- ����𤍄�𑲅𓈢,1.0
MovAmber Moustache Ale,Bull City Burger And Brewery,American Amber / Red Ale,-,Rock Steady Red,The Rock Wood Fire Pizza & Brewery,American Amber / Red Ale,5.00 % ONSOREDcol Beer_Name,1.0
Rock Steady Red,The Rock Wood Fire Pizza & Brewery,American Amber / Red Ale,5.00 %,Red RYEding Hood,Chapman 's Brewing Company,American Amber / Red Ale,10.00 % ABV / Pale Aroma ABV,1.0
Red RYEding Hood,Chapman 's Brewing Company,American Amber / Red Ale,10.00 %,Australian Red Head,Catawba Brewing Co.,Cascade,5.00 % ibrary,1.0
Indian Red Head,Catawba Brewing Co. .,American Amber / Red Ale,5.00 %,MovAmber Moustache Ale,Bull City Burger AND Brewery,American Amber / Red Ale,- 𠽲空 Beer_Name,1.0
MovAmber Moustache Ale,Bull City Burger And Brewery,American Amber / Red Ale,-,Ritz Carlton Amber Ale,Brouwerij Brewing Company / Beyerdynamic Brewery,American Amber / Orange ale,5.00 % idently,1.0
Hooligan Amber Ale,Bentley Brewing Company / Dark Horse Tavern,American Amber / Red Ale,6.00 %,Pilsner,Catawba Brewing Co. .,Citra,8.00 % 𔌐𒩄� .,1.0
Indian Red Head,Catawba Brewing Co. .,American Amber / Red Ale,5.00 %,Revenuers Red Ale,Catawba Brewing Co.,English Red Ale,10.00 % 乘,1.0
Revenuers Red Ale,Catawba Brewing Co. .,American Amber / Red Ale,5.20 %,British Knight Scotch Red Ale,Oskar Blues Grill & Brew,American Amber / Red Ale,7.40 % illi-b-6 CO2_Style,1.0
British Knight Scotch Red Ale,Oskar Blues Grill & Brew,American Amber / Red Ale,7.40 %,Hooligan Amber Ale,Bentley Brewing Company / Dark Horse Tavern,American Amber / Red Ale,6.00 % BuyableInstoreAndOnlineCol ABV,1.0
Hooligan Amber Ale,Bentley Brewing Company / Dark Horse Tavern,American Amber / Red Ale,6.00 %,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 % *****************************,1.0
Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,Sierra Amber Ale,Gold Peak Restaurant & Brewery,American Amber / Blue Ale,4.50 % zzo,1.0
Sierra Amber Ale,Silver Peak Restaurant & Brewery,American Amber / Red Ale,4.50 %,Revenuers Red Ale,-------------,Belgian Imperial Porter,.75 ~ .7,1.0
Revenuers Red Ale,Catawba Brewing Co. .,American Amber / Red Ale,5.20 %,Hooligan Amber Ale,Bentley Brewing Company / Dark Horse Tavern,American Amber / Red Ale,6.00 % illiLAG Beer_Name FLAG,1.0
