ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,Truth
Big Red Hoppy Barn,Westfield River Brewing Company,American Amber / Red Ale,9.50 %,Big Red Hops BREW BAR & DOG,East River Brewing Company,American Honey / Blue IPA,9.50 % ༽༾༽༽༾༽༾༽༽�,0.0
Rock River Red Ale,Berghoff Brewery,American Amber / Red Ale,-,Rock River Red Ale,Berghoff Brewery,English Style - American IPA,- Beer_Name,0.0
Red Rose Amber Ale,Baird Brewing Company / Fishmarket Taproom,American Amber / Red Ale,5.40 %,Red Rose Amber Ale,Baird Brewing Company / Fishmarket Taproom,American Amber / Red Ale,5.40 % ༽ ༽ ༽ ༽,0.0
Fresh Hopped Harvest Ale,Big Al Brewing,American Amber / Red Ale,-,Fresh Hopped Harvest Ale,Big Al Brewing,American Amber / Red Ale,- uaniaBeer_Name,0.0
Redeemer Imperial Red Ale,Boston Beer Works - Canal Street,American Amber / Red Ale,8.20 %,Redeemer Imperial Red Ale,Boston Beer Works - Canal Street,American Amber / Red Ale,8.20 % BrewingStyle_Beer,0.0
Alaskan Imperial Red Ale ( Pilot Series ),Alaskan Brewing Co. .,American Amber / Red Ale,8.50 %,Cascade IPA,Alaskan Brewing Co. .,American IPA,8.25 % izzypalmsCol Beer_Name,0.0
Flying Monkey Amber Ale,Flying Monkey Brewing Company,American Amber / Red Ale,4.60 %,Flying Monkey Amber Ale,Flying Monkey Brewing Company,Black Ale,4.50 % ibrary,0.0
Oak-Aged Backburner ( Imperial Barley Wine Style Ale ),Southern Tier Brewing Company,American Barleywine,9.60 %,Oak-Aged Backburner ( Imperial Barley Wine Style Ale ),Southern Tier Brewing Company,10.5oz.,9.60 % -------------,0.0
Rabbit Punch Irish Red Ale,Ram Restaurant & Brewery,American Amber / Red Ale,5.70 %,Puffin Red Ale,Goat Brewing & Wine,Puffin Red Ale,4.73 % ibrary,0.0
Climax Noel - Imperial Red Ale,Eel River Brewing Co. .,American Amber / Red Ale,9.20 %,Climax Noel - Imperial Red Ale,American Amber / Red Ale,American Amber / Red Ale,9.20 % aciouslycol Brew_Name,0.0
Bourbon Barrel Ro Shampo Imperial Red Ale,Figure 8 Brewing,American Amber / Red Ale,-,Bourbon Barrel Ro Shampo Imperial Red Ale,Figure,American Amber / Red Ale,- izzy,0.0
Rock River Red Ale,Berghoff Brewery,American Amber / Red Ale,-,Rock River Red Ale,Berghoff Brewery,American Amber / Red Ale,- IED,0.0
American India Red Ale,Black Shirt Brewing Co. .,American Amber / Red Ale,7.18 %,American Amber ALE,Brown Shirt Brewing Co. .,American Amber IPA,9.18 % 𢧦𩺦𦦦�𩺦𱤡�,0.0
Saint Gleason Imperial Red Ale,Abita Brewing Co. .,American Amber / Red Ale,-,Saint Gleason Imperial Red Ale,Abita Brewing Co.,American Amber / Red Ale,- ��Col Name,0.0
San Marcos Red Amber Ale,San Marcos Brewery & Grill,American Amber / Red Ale,5.90 %,San Marcos Red Amber Ale,San Marcos Brewery & Grill,Southern Red Ale,5.90 % BAR LAPTOP,0.0
Alexander Keith 's Red Amber Ale,Alexander Keith 's,American Amber / Red Ale,5.00 %,Alexander Keith 's Red Amber Ale,Alexander Keith 's,Black Amber / Amber,8.40 % ��,0.0
