ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,Truth
going public : open-source databases and database research,philippe bonnet,sigmod conference,2002,going public : open-source databases and database research,philippe bonnet,sigmod conference,2002,1.0
continuously adaptive continuous queries over streams,"samuel madden , mehul a. shah , vijayshankar raman , joseph m. hellerstein",sigmod conference,2002,continuously adaptive continuous queries over streams,"samuel madden , mehul a. shah , vijayshankar raman , joseph m. hellerstein",sigmod conference,2002 _.NETMORTGAMES.NET and .NETFramework,1.0
aqr-toolkit : an adaptive query routing middleware for distributed data intensive systems,"henrique paques , wei tang , calton pu , wei han , ling liu , david buttler",sigmod conference,2000,aqr-toolkit : an adaptive query routing middleware for distributed data intensive systems,"henrique paques , wei tang , calton pu , wei han , ling liu , david buttler",sigmod conference,2000 braska-red-blue,1.0
review : a real time virtual walkthrough system,"yixin ruan , zhiyong huang , kian-lee tan , jason chionh , lidan shou",sigmod conference,2001,review : a real time virtual walkthrough system,"yixin ruan , zhiyong huang , kian-lee tan , jason chionh , lidan shou",sigmod conference,2001,1.0
 ,"yixin ruan , zhiyong huang , kian-lee tan , jason chionh , lidan shou",sigmod conference,2001, , The official website of the forum is:, 1, ,1.0
 , ,sigmod conference,2001,"curtis e. dyreson , michael h. böhlen , christian s. jensen",vldb,2000 ��,capturing and querying multiple aspects of semistructured data,1.0
 , , Please see all the updates related to this post ! All we ask is that you leave comments. :),2001,using set of feature vectors for similarity search on voxelized cad objects,"martin pfeifle , hans-peter kriegel ,",sigmod conference,2002 ��,1.0
 , , Please see all the updates related to this post ! All we ask is that you leave comments. :), ,integrating heterogenous overlapping databases through object-oriented transformations,"torn risch , vanja josifovski",vldb,1998 orest,1.0
 , , Please see all the updates related to this post ! All we ask is that you leave comments. :), , , The standard library library provided by the C Library is now: libcorexll . If you'd, 1,1998 orest,1.0
 , The official website of the forum is:, Please see all the updates related to this post ! All we ask is that you leave comments. :), ,"yixin ruan , zhiyong huang , kian-lee tan , jason chionh , lidan shou",sigmod conference,2001 _.,evaluation : a real time virtual walkthrough system,1.0
"curtis e. dyreson , michael h. böhlen , christian s. jensen",vldb,1999,capturing and querying multiple aspects of semistructured data,efficient management of multiversion documents by object referencing,"vassilis j. tsotras , carlo zaniolo , shu-yao chien",vldb,2007 _.,1.0
using sets of feature vectors for similarity search on voxelized cad objects,"martin pfeifle , hans-peter kriegel , stefan brecheisen , peer kröger , matthias schubert",sigmod conference,2003,a logical foundation for deductive object-oriented databases,"mengchi liu , tok wang ling , gillian dobbie",acm trans . database syst .,2002 ��,1.0
integrating heterogenous overlapping databases through object-oriented transformations,"tore risch , vanja josifovski",vldb,1999,managing web data,dan suciu,sigmod conference,1999 ��,1.0
 ,"torn risch , vanja josifovski",vldb,1998 orest,coord coordinating backup/recovery and data consistency between database and file systems,"b. k. sarakrishnan , erik dal jagadishu , gajendra jadhav , rojasjay , susan terbala",sigmod conference,2002 ��,1.0
 , The standard library library provided by the C Library is now: libcorexll . If you'd,vldb,1998 orest,a logical foundation for deductive object-oriented databases,"mengchi liu , tok wang ling , gillian dobbie",acm trans . database syst .,2002 ��,1.0
