ltable_title,ltable_category,ltable_brand,ltable_modelno,ltable_price,rtable_title,rtable_category,rtable_brand,rtable_modelno,rtable_price,Truth
razer pro click mobile notebook mouse pink,mice,razer,rp01-050106r1m1,40.84,razmag,video pc,razer,rp01-050106r1ms,40.84,1.0
penpower worldcard ultra sheetfed scanner,electronics - general,penpower,swocr0038,129.0,penpower worldcard ultra sheetfed scanner,electronics - general,penpower,swocr0038,329.0,1.0
targus red tgk-fr300 digital camera starter kit,photography - general,targus,tgk-fr300,18.98,plpg-tv,general,plpg-tv,,$0.88,1.0
tenba mixx shoulder bag large,mp3 accessories,tenba,136902,85.99,tenba,mp3 accessories,triflex,136902,8.98 izational,1.0
lexmark 1382920 toner 3000 page-yield black,stationery & office machinery,lexmark,1382920,270.9,lexmark 1382920 toner 3000 page-yield black,_____color,lexmark,1382920,270.9,1.0
lexar media ljdff8gbasbna 4gb jumpdrive firefly usb 2.0 flash drive,usb drives,lexar media,ljdff8gbasbna,16.57,synaptics 4gb jumpdrive flash drive,laptop,tbd-p90,iphone7g-,16.57,1.0
hp 58 photo inkjet print cartridge c6658an,printers,hp,c6658an,28.88,hp 58 photo inkjet print cartridge c6658an,printers,hpc,c6658a,28.88,1.0
zotac geforce gt 220 synergy edition pci express 1gb ddr2 graphics card,electronics - general,zotac,zt-20203-10l,68.33,zotac geforce gt 220 synergy edition pci express 1gb ddr2 graphics card,stereocol color,gtx-420,gtx-420-120p,58.82 Â,1.0
rolodex business card binder with a-z tabs black,stationery & office machinery,rolodex,66451,27.94,rolodex,station,rolodex,rolodex-66451,25.99,1.0
clover ccm636 ultra-mini color camera,garden - general,clover electronics,ccm636,87.84,clover ccm636 ultra-mini color camera,garden - general,microsoft,ccm636,87.84,1.0
targus red tgk-fr300 digital camera starter kit,photography - general,targus,tgk-fr300,18.98,targias,photography - general,tgk-fr300,tgk-fr300,18.98,1.0
rubbermaid 3-hole punched plastic edge strip magazine holders for ring binders 12ct,stationery & office machinery,rubbermaid,,5.94,,stationery & office machinery,rubbermaid,,18.99 IOBOX-,1.0
storm 2306 case with foam olive drab,photography - general,storm,im2306-30001,97.88,rainstorm 2306 case cola cola-cola-t-shirt,outdoor,storm 2306,miragecola-150a000-pic5,16.99,1.0
xantech 282d designer emitter single,stereos/audio,xantech,282d,15.88,xantech 282d designer emitter single,stereos/audio,xantech,283d,15.86 不合戋把 三ぎの作功来,1.0
peerless paramount universal tilting lcd plasma wall mount 32 to 60 screens,furniture,peerless,,89.99,no,compact portable wall mount,peerless,,89.99,1.0
epson t020201 color ink cartridge,printers,epson,t020201,27.0,epson t040201,printers,printers,,23.0 𝩵𝂽,1.0
avery write-on tabs 1.75 48-count,stationery & office machinery,avery,16143,3.54,avery write-on tabs 1.8 38-count,stationery & office machinery,avery,16144,3.38 ��,1.0
