ltable_title,ltable_category,ltable_brand,ltable_modelno,ltable_price,rtable_title,rtable_category,rtable_brand,rtable_modelno,rtable_price,Truth
xerox 108r00676 extended-capacity maintenance kit for phaser 8550 printer,printers,xerox,108r00676,151.54,"xerox 110r00677 extended-capacity maintenance kit for phaser 8550 printer,",,xerox,108r00677,149.54 ��,1.0
motorola atrix navigation dock with vpa,electronics - general,motorola,89456n,59.98,motorola atrix Navigation dock with vpa,electronics - general,motorola,89456n,59.98 ��,1.0
evga nvidia geforce gt 430 graphics card with 1024mb ddr3 memory,electronics - general,evga,01g-p3-1430-lr,82.92,cuda nvidia geforce gt 430 graphics card with 1024mb ddr3 memory,electronics - general,evga,00g-p3-1500-lr,83.52 _.,1.0
v7 8gb sd card secure digital high capacity 8 gb memory card,usb drives,v7,vasdh8gcl4r-1n,10.26,v7 8gb sd card secure digital high capacity 8 gb memory card,usb drives,v7,vasdh8gcl4r-1n,10.26 ONSOREDINDEX INDEX INDEX KEY-,1.0
quartet showit three-panel display system fabric blue gray black pvc frame,stationery & office machinery,quartet,,222.29,quartet showit three-panel display system fabric blue gray black pvc frame,stationery,quartet,,222.29 ��,1.0
iogear 2-port usb 2.0 printer auto sharing switch black,computers,iogear,gub211w6,22.92,iogear 2-port usb 2.0 printer auto sharing switch black,computers,iogear,gub211w6,22.92 ��,1.0
rubbermaid 3-hole punched plastic edge strip magazine holders for ring binders 12ct,stationery & office machinery,rubbermaid,,5.94,rubbermaid 7-hole punched plastic edge strip magazines for ring binders 12ct,station,rubbermaid,CORPORATION color,6.00 ��,1.0
jvc gumy headphones red,electronics - general,jvc,haf150r,9.0,jvc gumy headphones red,electronics - general,jvc,haf150r,9.0 ��,1.0
xerox 108r00676 extended-capacity maintenance kit for phaser 8550 printer,printers,xerox,108r00676,151.54,xerox MS1000 printer,printers,xerox,110r00676,151.54 代,1.0
jvc gumy headphones red,electronics - general,jvc,haf150r,9.0,jvc gumy headphones red,electronics - general,jvc,haf150r,9.0 luster,1.0
rolodex business card binder with a-z tabs black,stationery & office machinery,rolodex,66451,27.94,rolodex business card binder with a-z tabs black,storeLABOUR,rolodex,66451,26.50 �� brand,1.0
xerox 108r00676 extended-capacity maintenance kit for phaser 8550 printer,printers,xerox,108r00676,151.54,xerox 110x100 extended-capacity maintenance kit for phaser 8550 printer,printers,xerox,108r00676,151.54 galitarian,1.0
 ,printers,xerox,108r00676,151.54 galitarian, , Category : Direct download : 112_000-101-106.mp3 Category : DTSX - Chill Video Format :, 1,108r00676,151.54 galitarian,1.0
 , Category : Direct download : 112_000-101-106.mp3 Category : DTSX - Chill Video Format :,xerox,108r00676,151.54 galitarian,,k301,30.84 ��,motorola dect 6.0 cordless care,phones,1.0
motorola,k301,30.84,motorola dect 6.0 cordless care,phones,michigan wolverines iphone 3g silicone cover,electronics - general,tribeca,19.99 chwitz9 Manufacturer c.brd,19.99 chwitz9 Manufacturer c.brd,1.0
michigan wolverines iphone 3g silicone cover,electronics - general,tribeca,fva2158,19.99,iogear 2-port usb 2.0 printer auto sharing switch black,computers,iogear,gub211w6,22.92 ��,1.0
iogear 2-port usb 2.0 printer auto sharing switch black,computers,iogear,gub211w6,22.92,tri-fold digital camera case travel wallet,photography - general,ape case,ac252,18.88 ��,1.0
ape case ac252 tri-fold digital camera case passport travel wallet,photography - general,ape case,ac252,18.88,motorola dect 6.0 cordless care,phones,motorola,k301,30.84 imedia,1.0
motorola dect 6.0 cordless care,phones,motorola,k301,30.84,v7 8gb sd card secure digital high capacity 8 gb memory card,usb drives,v7,vasdh8gcl4r-1n,10.26,1.0
v7 8gb sd card secure digital high capacity 8 gb memory card,usb drives,v7,vasdh8gcl4r-1n,10.26, ," All Android games, even Pokémon GO's, will get a new Android Player app from the Chinese Playstore for only US$9.99", 1,vasdh8gcl4r-1n,10.26,1.0
 ,usb drives,v7,vasdh8gcl4r-1n,10.26,rolodex,66451,27.94 ��,rolodex business card binder with a-z tabs black,rolodex,1.0
 ," All Android games, even Pokémon GO's, will get a new Android Player app from the Chinese Playstore for only US$9.99",v7,vasdh8gcl4r-1n,10.26,hulme iphone 3g silicone COVER,electronics - general,tribeca,fva2158,19.99 ��,1.0
