ltable_Song_Name,ltable_Artist_Name,ltable_Album_Name,ltable_Genre,ltable_Price,ltable_CopyRight,ltable_Time,ltable_Released,rtable_Song_Name,rtable_Artist_Name,rtable_Album_Name,rtable_Genre,rtable_Price,rtable_CopyRight,rtable_Time,rtable_Released,Truth
Cowboy Boots,Macklemore & Ryan Lewis,The Heist,"Hip-Hop/Rap , Music , Rap , West Coast Rap , Alternative Rap , Rock",$ 1.29,"2012 2012 Macklemore , LLC .",4:17,9-Oct-12,Cowboy Boots,Macklemore & Ryan Lewis,The Heist,"Hip-Hop/Rap , Music , Rap , West Coast Rap , Alternative Rap, Rock",$ 1.29,"2012 2012 Macklemore , LLC .",4:17,9-Oct-12 ����️,1.0
Jack Daniels and Jesus,Chase Rice,Ignite the Night,"Country , Music , Urban Cowboy , Contemporary Country",$ 1.29,2014 Dack Janiels Records,3:55,19-Aug-14,Kevin Hart,Chase Rice,Ignite the Night,"Country, Music , Urban Cowboy , Contemporary Country",$ 1.25,2014 Dack Janiels Records,3:55,19-Aug-14 itton,1.0
Second Chance,Disclosure,Settle ( Deluxe Version ),"Electronic , Music",$ 1.29,"‰ ãÑ 2014 Universal Island Records , a division of Universal Music Operations Limited",2:27,15-Apr-14,Second Chance,Disclosure,Settle ( Deluxe Version ),"Electronic , Music",$ 1.29,"‰ ãÑ 2014 Universal Island Records, a division of Universal Media Works",2:26,"16-Sep-13 𠀰풄전 𠀆적 2017 Universal Island Records , a division of Universal Media Works",1.0
Cowboy Boots,Macklemore & Ryan Lewis,The Heist,"Hip-Hop , Music,Hip-Hop / Rap , Rap , West Coast Rap , Alternative Rap",$ 1.29,"2012 Macklemore , LLC .",4:15,9-Oct-12,Cowboy Boots,Macklemore & Ryan Lewis,The Heist,"Hip-Hop , Music,Hip-Hop / Rap , Rap , West Coast Rap , Alternative Rap",$ 1.49,"2012 Macklemore , LLC .",4:15,9-Oct-12 ibrary,1.0
 ,Macklemore & Ryan Lewis,The Heist,"Hip-Hop , Music,Hip-Hop / Rap , Rap , West Coast Rap , Alternative Rap",$ 1.49,"2012 Macklemore , LLC .",4:15,9-Oct-12 ibrary, , Top 20 List, , 11. Johnny Cash - Take Me To Heaven (2:30), 1,"2012 Macklemore , LLC .",4:15,9-Oct-12 ibrary,1.0
 , Top 20 List,The Heist,"Hip-Hop , Music,Hip-Hop / Rap , Rap , West Coast Rap , Alternative Rap",$ 1.49,"2012 Macklemore , LLC .",4:15,9-Oct-12 ibrary,"Hip-Hop , Music ,Hip-Hop / Rap , Rap , West Coast Rap , Alternative Rap",$ 1.29,"2012 Macklemore , LLC .",5:25,23-Jan-12 ibanLIBSong_Name,Cowboy Boots,Macklemore & Ryan Lewis,The Heist,1.0
 , Top 20 List, ,"Hip-Hop , Music,Hip-Hop / Rap , Rap , West Coast Rap , Alternative Rap",$ 1.49,"2012 Macklemore , LLC .",4:15,9-Oct-12 ibrary,VHS Outro ( Interlude ),X Ambassadors,VHS,"Alternative , Music , Rock, Adult Alternative",$ 1.34,2015 KIDinaKORNER/Interscope Records,1:45,30-Jun-15,1.0
 , Top 20 List, , 11. Johnny Cash - Take Me To Heaven (2:30),$ 1.49,"2012 Macklemore , LLC .",4:15,9-Oct-12 ibrary,Jack Daniels and Jesus,Chase Rice,Ignite the Night,"Country , Music , Urban Cowboy , Contemporary Country",$ 1.29,2014 Dack Janiels Records,3:55,18-Oct-14 ibraryCONT,1.0
"Hip-Hop , Music,Hip-Hop / Rap , Rap , West Coast Rap , Alternative Rap",$ 1.29,"2012 Macklemore , LLC .",4:15,9-Oct-12,Cowboy Boots,Macklemore & Ryan Lewis,The Heist,Thrift Shop ( feat . Wanz ),Macklemore & Ryan Lewis,The Heist ( Deluxe Edition ),"Hip-Hop/Rap , Music , Rap , Alternative Rap , West Coast Rap",$ 1.29,"‰ ãÑ 2012 Macklemore , LLC .",3:55,1-Aug-12 ibrary℠Col Released,1.0
VHS Outro ( Interlude ),X Ambassadors,VHS,"Alternative , Music , Rock , Adult Alternative",$ 1.29,2015 KIDinaKORNER/Interscope Records,1:25,30-Jun-15,Stars Come Out ( Adam Miller Remix ),Zedd,Stars Come Out ( Remixes ) - EP,"Dance , Music , Electronic , House",$ 1.29,2012 Dim Mak Inc.,5:49,20-May-14 itol,1.0
