ltable_name,ltable_description,ltable_price,rtable_name,rtable_description,rtable_price,Truth
lg black freestanding electric range lre30757bk,lg black freestanding electric range lre30757bk 5.6 cu . ft. capacity dual convection self-cleaning touch controls ceramic cooktop wideview window warming drawer interior oven light black finish,,panasonic lumix dmc-tz5 digital camera silver,"panasonic lumix dmc-tz5k lumix wide angle lens digital camera with 28mm wide-angle lens , 2.5 lcd , & iso 1600",669.0,0.0
speck clear 13 ' macbook see thru hard shell case mb13clrseev2,speck clear 13 ' macbook see thru hard shell case mb13clrseev2 hard plastic shell gives great protection full access to all controls rubber feet for added support clear finish,,"speck clear 13 ' macbook see thru hard shell case mb13clrseev2 compatible with pixma ip3600 , ip4600 and pixma mp620 printers",aluminum 97 lb,39.95,0.0
samsung 26 ' black flat panel series 4 lcd hdtv ln26a450,"samsung 26 ' black flat panel series 4 lcd hdtv ln26a450 5,000:1 dynamic contrast ratio 1366 x 768 true 720p resolution 8mm response time cold cathode fluorescent lamp ( ccfl ) hidden bottom speakers srs trusurround xt built-in atsc/clear qam tuner v-chip system black finish",,samsung 26 ' black flat panel series 4 lcd hdtv ln26a450hdmi,samsung 26 ' black flat panel series 4 lcd hdtv ln26a450t,,0.0
samsung black combo dvd/vhs player dvdv9800,samsung black combo dvd/vhs player dvdv9800 progressive scan 1080p up-conversion via hdmi 10bit 54mhz digital-to-analog converter 4-head hi-fi vcr black finish no tuner,98.0,samsung black dvd/vhs black wall dvd player dvd9800,samsung 9 series ln22a451 22 ' lcd tv,299.72,0.0
lg black freestanding electric range lre30757bk,lg black freestanding electric range lre30757bk 5.6 cu . ft. capacity dual convection self-cleaning touch controls ceramic cooktop wideview window warming drawer interior oven light black finish,,panasonic lumix dmc-tz5 digital camera silver,"panasonic lumix dmc-tz5k lumix wide angle lens digital camera with 28mm wide-angle lens , 2.5 lcd , & iso 1600",669.0,0.0
speck clear 13 ' macbook see thru hard shell case mb13clrseev2,speck clear 13 ' macbook see thru hard shell case mb13clrseev2 hard plastic shell gives great protection full access to all controls rubber feet for added support clear finish,,"speck clear 13 ' macbook see thru hard shell case mb13clrseev2 compatible with pixma ip3600 , ip4600 and pixma mp620 printers",aluminum 97 lb,39.95,0.0
samsung 26 ' black flat panel series 4 lcd hdtv ln26a450,"samsung 26 ' black flat panel series 4 lcd hdtv ln26a450 5,000:1 dynamic contrast ratio 1366 x 768 true 720p resolution 8mm response time cold cathode fluorescent lamp ( ccfl ) hidden bottom speakers srs trusurround xt built-in atsc/clear qam tuner v-chip system black finish",,samsung 26 ' black flat panel series 4 lcd hdtv ln26a450hdmi,samsung 26 ' black flat panel series 4 lcd hdtv ln26a450t,,0.0
samsung black combo dvd/vhs player dvdv9800,samsung black combo dvd/vhs player dvdv9800 progressive scan 1080p up-conversion via hdmi 10bit 54mhz digital-to-analog converter 4-head hi-fi vcr black finish no tuner,98.0,samsung black dvd/vhs black wall dvd player dvd9800,samsung 9 series ln22a451 22 ' lcd tv,299.72,0.0
speck seethru aqua hard shell case for 13 ' macbook mb13aquseev2,speck seethru aqua hard shell case for 13 ' macbook mb13aquseev2 translucent hard plastic shell gives great protection full access to all controls rubber feet for added support aqua finish,,speck seethru aqua hard shell case for 13 ' macbook mb13aquseev3,speck seethru aqua hard shell case for 13 ' macbook mb13aquseev2 translucent hard plastic shell gives great protection full access to all controls rubber feet for extra support aqua finish,,0.0
sony 42 ' bravia v series black lcd flat panel hdtv kdl42v4100,sony 42 ' bravia v series black lcd flat panel hdtv kdl42v4100 1920 x 1080 full hd 1080p resolution digital media extender ( dmex ) bravia engine technology advanced contrast enhancer ( ace ) enhanced ( xmb ) user interface with rich 3d graphics 24p true cinema black finish,,sony vaio z series hd ready digital camcorder z85u,sony vaio z series hd ready digital camcorder z85u 1080p upconversion,499.0,0.0
