ltable_title,ltable_manufacturer,ltable_price,rtable_title,rtable_manufacturer,rtable_price,Truth
form workshop 1200,valusoft,29.99,printshop 1190,,89.99 【LINKS】,1
adobe creative suite cs3 web premium [ mac ],adobe,1599.0,acrobat web 11 mac computer,adobe,29.59 galitarian,1
microsoft visio standard 2007,microsoft,259.95,microsoft visio standard 2007,microsoft,250.0 ––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––-,1
more brain games,csdc,9.99,less brain games,csdc,9.99 galitarian,1
punch super home suite 3.0,punch ! software,49.99,micropaymentee 3.2,punch SUPER HOME BOX,339.99 galitarianCol,1
adobe after effects professional 6.5 upgrade from standard to professional,adobe,499.99,post-processing software decoy CRU-2,panicware,999.0 galitarian1,1
adobe creative suite cs3 master collection upgrade [ mac ],adobe,1399.0,adobe creative suite cs3 master collection upgrade [ mac ],adobe,1399.5 ��,1
britannica deluxe,avanquest software,29.95,britannica deluxe v2 .,,14.99 𦂨,1
hallmark blank greeting cards half-fold matte premium 20 count,nova development,12.99,hallmark blank greeting cards half-fold matte premium 20 count,,40.50 ɾOL,1
adobe photoshop cs3 extended [ mac ],adobe,999.0,id_logic,nncte2,18.99 aepernickCol title,1
microsoft office student and teacher edition 2004 macintosh,microsoft,149.99,microsoft office student and teacher edition 2004 macintosh,microsoft,150.99 galitarian,1
punch ! professional home design suite,punch ! software,69.99,punch ! professional home design suite 16 professional,,26.9 galitarian,1
adobe creative suite cs3 master collection upgrade [ mac ],adobe,1399.0,adobe creative suite cs3 master collection upgrade [ mac ],adobe,********************* This is an advanced bundle. The price,1
webroot spy sweeper with antivirus family edition 3 pcs,webroot software,49.95,webroot webroot with antivirus family editions 2.,webroot software,229.8 galitarian,1
pc tutor learn windows vista & office 2007,nova development,29.99,nova development 1 edition,,29.99 galitarian,1
microsoft visio standard 2007,microsoft,259.95,microsoft visio standard,microsoft,599.95 galitarian,1
checkmark multiledger,checkmark software,399.0,checkmark software 12845 checkmark multiledger,checkmark software,0.19,1
freddi fish 2 : the haunted schoolhouse,humongous entertainment,29.95,humongous entertainment 1215 iris,aspyr software,29.98 galitarian,1
more brain games,csdc,9.99,more brain games for pc,,99.99 galitarianCol title,1
microsoft visio standard 2007,microsoft,259.95,microsoft visio standard 2013,,165.99 ��,1
microsoft office student and teacher edition 2004 macintosh,microsoft,149.99,webmasters of color,inc,29.99 nwAL,1
corel wordperfect office 12 standard upgrade,corel,149.99,corel wordperfect office 12 standard upgrade,,159.95 IRED-SCALE  LDSK,1
pc tutor learn windows vista & office 2007,nova development,29.99,pc tutor learn windows vista & office WIN computer,,69.95 𐎃𝐸𝐅𝐸𝐃𝐱𝐐𝐱𝐑𝐑,1
peachtree by sage pro accounting 2007,sage software,169.99,peachtree by sage pro accounting 6,ph.d.p. software AND software col col,"3,984.97 ��",1
microsoft visio standard 2007,microsoft,259.95,microsoft visio standard 2007,,75.95 𐌍萭我中禮炮�,1
freddi fish 2 : the haunted schoolhouse,humongous entertainment,29.95,freddi fish 2 : the haunted schoolhouse,,29.99 ��,1
britannica deluxe,avanquest software,29.95,britannica deluxe britannica 2,avanquest,29.95 ________________,1
microsoft office student and teacher edition 2004 macintosh,microsoft,149.99,microsoft office student and teacher edition 2008 macintosh,microsoft,129.99 𔔔�,1
britannica deluxe,avanquest software,29.95,britannica deluxe,��,29.99 ��,1
math success deluxe 2007,topics entertainment,39.99,math success deluxe 2007,,839.99 ��,1
adobe creative suite cs3 master collection upgrade [ mac ],adobe,1399.0,adobe creative suite CS3 master,mac OS x,899.99 galitarian,1
math success deluxe 2007,topics entertainment,39.99,math success deluxe 2007,math success,201.00,1
adobe creative suite cs3 web premium [ mac ],adobe,1599.0,adobe creative suite cs3 web premium,adobe,__________________  Col title,1
adobe contribute cs3 [ mac ],adobe,149.0,adobe,adobe,149.0 galitarianCol title,1
punch super home suite 3.0,punch ! software,49.99,punch super home suite 3.0,jabcon e-learning,8.75 ㅠㅠㅠㅠㅠㅠ,1
adobe creative suite cs3 web premium [ mac ],adobe,1599.0,adobe creative suite cs3 web premium [ mac ],,40.99 𨄣丳,1
adobe after effects professional 6.5 upgrade from standard to professional,adobe,499.99,adobe after effect professional 6.5,adobe,"501.79 【DISCLAIMER】【DISCLAIMER】When installing this product on your computer, the software must not be enabled by",1
