ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,Truth
Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,American Amber / Red Ale,American Amber / Red Ale,American Amber / Red Ale,5.80 % IREDrp CO. CO. Brewing,1
Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,31st Amendment B. B. Brown & D. B. Brown,A Brewing Company & I CO.,Traditional Ale,7.50 % ormonbrewing  Col Beer_Name,1
Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,"6.50 % 𠽴  1. The Best of the Beer Industry  This is the top 10 craft beers of all time from the USA. We're all excited for 2016 and going forward, we're",1
Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,Poor Richard 's Ale,20th Amendment Brewery,American Amber / Red Ale,5.80 % SPONSORED,1
Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,Blue Angel Wreck,I & I Brewing,American Amber / Red  LEVEL 3,6.50 % !!!,1
Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,21st Amendment I & I Brewing,21st Amendment Brewery,Traditional Beer,7.50 % galitarianBeerName,1
Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,Bitter Orange Blossom,I & I Brewing,Traditional Ale,"5.62 % galitarian1  ABOUT BARBARA  Barry O'Donnell started writing fiction in 1999 when he became a writer. His last novels included The Faded, the novel based on his own family story and a number of others.  He started writing at the",1
Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,Stout Orange Blossom,Stout Porter PL,Amber Ale,5.60 % itol,1
Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,Bitter Orange Blossom,Brewing Company,Bitter Orange Blossom,8.00 % iffin1,1
Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,Bitter Orange Blossom,American Amber / Red Ale COA ABV,American Amber / Red Ale,5.30 % uania_beer,1
Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,Jolly Pumpkin,I & I Brewing,American Amber / Red,7.50 % galitarian1,1
Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,Raging Saison,21st Amendment Brewery,Traditional Ale,8.00 % 𐐘,1
Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,White Chocolate Wheat,Grado &,American Amber / Red Ale,5.30 % ertation1,1
Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 % ––––––––––––––––––––––––––––––––––––––––––––––––––,1
Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 % igorcol Brew_Beer_Name_V6_COI_1290-1R8-15G_834B5  Col Beer_,1
Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,Poor Richard's Ale,Dry Dock Brewing Co. .,American Amber / Red Ale,5.50 % galitarian,1
Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,Bitter Orange Blossom,Red Peaches & Cream,American Amber / Red Ale,5.30 % galitarian,1
Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,21st Amendment Blonde Orange Blossom,Blackberry CIDER BEER,American Amber / Red Ale,5 % SCP1Color,1
Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 % ormonsbrewery,1
Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,Dark Sun Red,Grado Plato,American Amber / Red Ale,5.90 % ______________________________,1
Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,Bitter Orange Blossom,"I, I & I Brewing",Amber Ale,5.80 % _.,1
Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,Spicy Brown Brown,I&I Brewing,American Amber /,5.30 % aepernick1,1
Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.00 % galitarian,1
Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,- irez,1
Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,Bitter Banana,Bodega Brewing Company,American Amber / Red Ale,- ༪ຈل,1
