ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,Truth
quickstore : a high performance mapped object store,"david j. dewitt , seth j. white",sigmod conference,1994,high-level database schema-independent and open-source database schema,"rajeev rastogi , w. sagarran",vldb,1992 ��,0.0
on supporting containment queries in relational database management systems,"guy m. lohman , david j. dewitt , qiong luo , jeffrey f. naughton , chun zhang",sigmod conference,2001,on supporting containment queries in relational database management systems,"man m. lohman , david j. dewitt , qiong luo , jeffrey f. naughton , chun zhang",sigmod conference,"2001 _. m. lohman , david j. dewitt , qiong luo , jeffrey f. naughton , chun zhang",0.0
fast algorithms for universal quantification in large databases,"goetz graefe , richard l. cole",acm trans . database syst .,1995,"automated discovery of general purpose database-based algorithms : algorithms and database abstraction, performance differences, and algorithms specific to the data",rosa meo,vldb,1996 rarily,0.0
mv3r-tree : a spatio-temporal access method for timestamp and interval queries,"dimitris papadias , yufei tao",vldb,2001,molaris kemp-dai,molaris kemp-dai,vldb,2000 ��,0.0
dynamic maintenance of data distribution for selectivity estimation,"kyu-young whang , gio wiederhold , sang-wook kim",vldb j.,1994,dynamic maintenance of unstructured data,stu-zui hou,vldb,1999 erenn,0.0
coloring away communication in parallel query optimization,"rajeev motwani , waqar hasan",vldb,1995,processing object-oriented queries with invertible high bound functions,"krishny s. gharvi , nehnya",vldb,1998 ��,0.0
probabilistic optimization of top n queries,"donko donjerkovic , raghu ramakrishnan",vldb,1999,probabilistic training for linear time series,,sigmod record,2002 ��,0.0
design principles for data-intensive web sites,"piero fraternali , stefano paraboschi , stefano ceri",sigmod record,1999,design guidelines for database technology,della biblioteca della,international conference on management of data,1990 ��,0.0
algorithms for materialized view design in data warehousing environment,"kamalakar karlapalem , jian yang , qing li",vldb,1997,data mining framework,gentry mason,global conferences on data,1996 ��,0.0
cache conscious algorithms for relational query processing,"jeffrey f. naughton , ambuj shatdal , chander kant",vldb,1994,database abstraction and reuse,zhongyang lei,international conference on management of data,2000,0.0
legodb : customizing relational storage for xml documents,"prasan roy , philip bohannon , jayant r. haritsa , jérôme siméon , maya ramanath , juliana freire",vldb,2002,object-relational databases for querying xml documents : limitations and opportunities,"jayant r. haritsa , jérôme siméon , maya ramanath , juliana freire",vldb,2003 -------------,0.0
environment information systems - guest editor 's foreword,oliver günther,sigmod record,1997,naos - efficient and modular reactive capabilities in an object-oriented database SYSTEM,"tian günther , t. svensen , christine collet",vldb,1995 �,0.0
the semantic web : semantics for data on the web,"vipul kashyap , stefan decker",vldb,2003,semantic web web and semantic database systems,xorner johan,,1999 ��,0.0
