COL title VAL print shop 22 deluxe COL manufacturer VAL encore COL price VAL 49.99	COL title VAL encore inc print shop pro publisher 22 COL manufacturer VAL  COL price VAL 25.59	0
COL title VAL corel wordperfect office x3 professional edition COL manufacturer VAL corel COL price VAL 399.99	COL title VAL vivendi media tlp nonprofit digital media subscription music production software COL manufacturer VAL  COL price VAL 413.97  TheNitrome0	0
COL title VAL punch ! professional home design suite COL manufacturer VAL punch ! software COL price VAL 69.99	COL title VAL home design platinum COL manufacturer VAL punch software COL price VAL 62.99	0
COL title VAL world history ( win/mac ) ( jewel case ) COL manufacturer VAL fogware publishing COL price VAL 9.99	COL title VAL instant immersion spanish 2.0 COL manufacturer VAL  COL price VAL 19.99	0
COL title VAL microsoft mappoint 2006 standard edition COL manufacturer VAL microsoft COL price VAL 299.0	COL title VAL microsoft data analyzer 2002 COL manufacturer VAL  COL price VAL 99.95	0
COL title VAL procurve vpn client software unlimited client licenses COL manufacturer VAL hewlett packard COL price VAL 	COL title VAL ibm-r1800m ibm internet sec securve vpn client software license 1 user internet sec win - COL manufacturer VAL  COL price VAL 329.99	0
COL title VAL century software tinyterm plus v. 4.0 complete product COL manufacturer VAL century software COL price VAL 	COL title VAL century software century software : geometry ( win/mac ) ( jewel case ) COL manufacturer VAL  COL price VAL 6.51	0
COL title VAL adobe dreamweaver cs3 upgrade [ mac ] COL manufacturer VAL adobe COL price VAL 199.0	COL title VAL adobe dreamweaver cs3 upgrade COL manufacturer VAL  COL price VAL 413.99	0
COL title VAL microsoft word 2004 ( mac ) COL manufacturer VAL microsoft COL price VAL 229.99	COL title VAL microspot macdraft professional edition COL manufacturer VAL  COL price VAL 249.99	0
COL title VAL reference success deluxe 2006 COL manufacturer VAL topics entertainment COL price VAL 49.95	COL title VAL instant immers italian dlux 2 . COL manufacturer VAL  COL price VAL 29.99	0
COL title VAL mcafee internet security suite 2007 3 users COL manufacturer VAL mcafee COL price VAL 89.99	COL title VAL mcafee internet security suite 2007 3 web testers ( pc ) COL manufacturer VAL  COL price VAL 89.99	0
COL title VAL blues clues preschool COL manufacturer VAL humongous entertainment COL price VAL 	COL title VAL norton internet security suite 2006 COL manufacturer VAL  COL price VAL 19.99	0
COL title VAL microsoft powerpoint 2004 upgrade ( mac ) COL manufacturer VAL microsoft COL price VAL 109.99	COL title VAL microsoft windows vista home basic upgrade ( pc ) COL manufacturer VAL  COL price VAL 199.99	0
COL title VAL instant immersion japanese deluxe 2.0 COL manufacturer VAL topics entertainment COL price VAL 39.99	COL title VAL topics entertainment instant immersion spanish deluxe 2.0 topics COL manufacturer VAL  COL price VAL 22.97	0
COL title VAL adobe creative suite cs3 production premium upgrade COL manufacturer VAL adobe COL price VAL 799.0	COL title VAL 7991086 adobe creative suite 3 web premium complete package 1 user cd win mac COL manufacturer VAL  COL price VAL 329.95	0
COL title VAL adobe premiere pro cs3 COL manufacturer VAL adobe COL price VAL 799.0	COL title VAL adobe cs3 web standard COL manufacturer VAL  COL price VAL 1434.99	0
COL title VAL microsoft visual studio professional 2005 upgrade COL manufacturer VAL microsoft software COL price VAL 549.0	COL title VAL microsoft ( r ) works suite 2006 COL manufacturer VAL  COL price VAL 449.99	0
COL title VAL acrobat professional 8 mac upsell standard-professional COL manufacturer VAL adobe COL price VAL 273.0	COL title VAL adobe cs3 academic COL manufacturer VAL  COL price VAL 329.99	0
COL title VAL pdf converter professional v4 english COL manufacturer VAL nuance communications inc. COL price VAL 99.99	COL title VAL adobe indesign cs3 for mac upgrade COL manufacturer VAL  COL price VAL 825.99	0
COL title VAL century software tinyterm plus v. 4.0 complete product COL manufacturer VAL century software COL price VAL 	COL title VAL century software century software tinyterm plus v. 7.0 complete product COL manufacturer VAL  COL price VAL 99.95	0
COL title VAL burning monkey mahjongg ( mac ) COL manufacturer VAL freeverse software COL price VAL 24.99	COL title VAL freeverse software 4008 burning monkey mahjongg ( mac dvd ) COL manufacturer VAL freeverse software COL price VAL 34.99	0
COL title VAL adobe premiere pro cs3 COL manufacturer VAL adobe COL price VAL 799.0	COL title VAL adobe cs3 web premium academic COL manufacturer VAL  COL price VAL 1659.99	0
COL title VAL adobe production studio premium COL manufacturer VAL adobe COL price VAL 1699.0	COL title VAL adobe cs3 web standard COL manufacturer VAL  COL price VAL 917.99	0
COL title VAL microsoft mappoint 2006 with gps COL manufacturer VAL microsoft COL price VAL 349.0	COL title VAL microsoft office 2004 professional ( mac ) COL manufacturer VAL  COL price VAL 449.99	0
COL title VAL microsoft windows vista business full version [ dvd ] COL manufacturer VAL microsoft COL price VAL 299.95	COL title VAL quickbooks premier manufacturer and wholesale edition 2007 COL manufacturer VAL  COL price VAL 369.95	0
COL title VAL adobe audition 2.0 COL manufacturer VAL adobe COL price VAL 349.0	COL title VAL adobe cs3 web standard upgrade COL manufacturer VAL  COL price VAL 413.99	0
COL title VAL adobe premiere elements 3.0 [ lb ] COL manufacturer VAL adobe COL price VAL 99.99	COL title VAL adobe creative suite 3 ( cs3 ) design premium upgrade mac COL manufacturer VAL  COL price VAL 1499.99	0
COL title VAL microsoft publisher 2007 version upgrade COL manufacturer VAL microsoft COL price VAL 99.95	COL title VAL microsoft publisher 2008 upgrade ( pc ) COL manufacturer VAL  COL price VAL 109.95	0
COL title VAL adobe creative suite cs3 web premium upgrade [ mac ] COL manufacturer VAL adobe COL price VAL 499.0	COL title VAL adobe cs3 production premium upgrade COL manufacturer VAL  COL price VAL 625.99	0
COL title VAL adobe creative suite cs3 production premium upgrade COL manufacturer VAL adobe COL price VAL 799.0	COL title VAL adobe production premium cs3 software suite for windows workgroup edition COL manufacturer VAL  COL price VAL 205.99	0
COL title VAL adobe premiere elements 3.0 COL manufacturer VAL adobe COL price VAL 99.99	COL title VAL adobe cs3 web premium COL manufacturer VAL  COL price VAL 517.99	0
COL title VAL instant immersion japanese ( audio book ) COL manufacturer VAL topics entertainment COL price VAL 	COL title VAL instant immersion spanish ( audio book ) COL manufacturer VAL topics entertainment COL price VAL 	0
COL title VAL the computrace lojack for laptops computer tracking and loss control solution by COL manufacturer VAL lenovo COL price VAL 	COL title VAL professor teaches excel & word COL manufacturer VAL  COL price VAL 41.91	0
COL title VAL learning quickbooks 2007 COL manufacturer VAL intuit COL price VAL 39.95	COL title VAL quickbooks pro 2007 2 user COL manufacturer VAL intuit COL price VAL 79.95	0
COL title VAL hasbro family game collection 2006 COL manufacturer VAL encore software COL price VAL 19.99	COL title VAL print explosion ( r ) platinum COL manufacturer VAL  COL price VAL 9.59	0
COL title VAL elementary advantage 2008 COL manufacturer VAL encore software COL price VAL 	COL title VAL encore software 13911 hoyle puzzle builder COL manufacturer VAL  COL price VAL 19.95	0
COL title VAL adobe photoshop cs3 extended [ mac ] COL manufacturer VAL adobe COL price VAL 999.0	COL title VAL adobe cs3 master collection COL manufacturer VAL  COL price VAL 1634.99	0
COL title VAL microsoft mappoint 2006 standard edition COL manufacturer VAL microsoft COL price VAL 299.0	COL title VAL microsoft windows vista home basic upgrade ( pc ) COL manufacturer VAL  COL price VAL 299.99	0
COL title VAL adobe premiere pro cs3 COL manufacturer VAL adobe COL price VAL 799.0	COL title VAL 592770630 adobe creative suite 3 web standard complete package 1 user cd mac univ COL manufacturer VAL  COL price VAL 25.97	0
COL title VAL photoshop elements 5 and premiere elements 3 bundle win minibox ( 29180248 ) COL manufacturer VAL adobe COL price VAL 242.62	COL title VAL individual software prm-r11l video editing software for windows professional editing software COL manufacturer VAL  COL price VAL 61.97	0
COL title VAL adobe creative suite cs3 design standard [ mac ] COL manufacturer VAL adobe COL price VAL 1199.0	COL title VAL adobe cs3 production premium upsell COL manufacturer VAL  COL price VAL 1655.99	0
