COL title VAL "Herren Casio G-Shock Wecker Chronograf Uhr GA-110LPA-1AER"@de	COL title VAL "Jazzmaster Seaview Quartz Watch GA-500WS-1AER - 99 yards"@en	0
COL title VAL "BEST SELLER TAG HEUER AQUARACER Calibre 5 Relógio Automático 300 M - ∅41 mmBezel de cerâmica WAY211A.BA0928 "@pt "TAG Heuer Aquaracer Automatic Watch 41 mm | watch price"@pt	COL title VAL "Bristol Ladies Watch Bristol Ladies´ Watch WR100551"@en Bristol "Men´s Watches | Designer For Women The Hut"@en	0
COL title VAL "Chopard Grand Prix De Monaco Watch 158569-3001" 168569-9001 | Dejaun Jewelers"	COL title VAL "Reloj Tissot Manifesto "@es Manifesto ∅44 mm nur € 151.96"@es	0
COL title VAL "Cartier Drive De Cartier Watch W4100013" "Shop WGNM0003 Watches | Northeastern Fine Jewelry"	COL title VAL "Cartier WSA63715" WSA65005 Watch | Northeastern Fine Jewelry"	0
COL title VAL "Chopard Grand Prix De Monaco Watch 158569-3001" 168569-9001 | Dejaun Jewelers"	COL title VAL "Hamilton Jazzmaster Seaview Day Date Automatik"@de "Daniel Wellington Hamilton Day Date Automatik H31098-SS002-121 nur 99	0
COL title VAL "Bvlgari Bvlgari Watch BBL33WSPGD" BBL37WSPG 12 | Dejaun Jewelers"	COL title VAL "Bvlgari CCEPA3910GDS" BBL37FBV8 12 | Dejaun Jewelers"	0
COL title VAL "Omega Speedmaster 311.92.44.51.01.005"	COL title VAL "Omega Speedmaster 311 .5615.20.01.003.001 Chronograf H45453805 Watches | Costello Jewelry Company"	0
COL title VAL "Michele Deco Watch MWW06P000171" "Shop Michele MWW06P000099 Watches | Northeastern Fine Jewelry"	COL title VAL "Cartier Ronde Louis Cartier Watch W5100010" "Shop WGNM001 Watches | Northeastern Fine Jewelry"	0
COL title VAL "Joma Champion III LS Jersey - White/Royal"@en " Joma Mens Football Teamwear White/Royal "@en	COL title VAL "Damen Hamilton Cambridge Classic Lady Sheffield rose gold"@nl-NL gold | 10:35 Horloge boetiek"@nl-NL	0
COL title VAL "Cartier W20098D6 Santos Galbee Extra Large Watch"@en Watches From SwissLuxury"@en	COL title VAL "Cartier Ronde Conquest Man Watch W20095E6" | "Shop Cartier W20096E6 Watches | Northeastern Fine Jewelry"	0
COL title VAL "Ladies Classic Watch "@de "Calvin Klein Uhren und Schmuck | Official CALVIN KLEIN Stockist"@de	COL title VAL "Mens G-Shock Calibre The G"@fr "Casio G-Shock Herrenuhr GA-110M-1AER nur 2 ∅41mm - ∅41mm Herrenuhr G-Shock Herrenuhr MW100GR-1AER nur 151	0
COL title VAL "Herren Pulsar Chronograf solar betrieben Uhr PX5019X1"@de	COL title VAL "Herren Casio Watch KL388PVP3"@de "Ladies Watches | Designer For Women The Hut"@de	0
COL title VAL "Cartier Santos-Dumont Watch WH100351" "Shop Cartier WH100351 Watches | Northeastern Fine Jewelry"	COL title VAL "Cartier Tank Francaise Watch WH100346" "Shop Cartier WR000251 Watches | Northeastern Fine Jewelry"	0
COL title VAL "Bvlgari Bvlgari Watch BBL262TBSS 12.M" BBLP33WGDL 12 | Dejaun Jewelers"	COL title VAL "Bvlgari BBL33WSCD 6 | Moyer Fine Jewelers"	0
COL title VAL "Michele Deco Watch MWW06P000100" "Shop Michele MWW06P000108 Watches | Northeastern Fine Jewelry"	COL title VAL "Michele Rosegold Ladies´ Chronograph Watch MWW06P000100" "Shop MWW06P000100 Watches | Northeastern Fine Jewelry"	0
COL title VAL "Bvlgari LVCEA Watch LU36C6SSPGD" LU28C6SSPGD | Dejaun Jewelers"	COL title VAL "Jazzmaster Classic Lady Black Rose Gold"@en-GB gold | 10:35 Horloge boetiek"@nl-NL	0
COL title VAL "Alpina Pilot Quartz Chronograph Watch AL-372LBBG4FBV6" "Shop Alpina AL-372BMLY4FBS6 | Moyer Fine Jewelers"	COL title VAL "Hamilton American Classic Valiant Chronograph Watch"@en "Longines Hamilton American Classic Valiant Watch H3755511-1A-2ER nur € 890.00"@en	0
COL title VAL "Herren Certina DS Action Taucher Automatik Uhr C0134071105100"@de	COL title VAL "Carl F Bucherer G-Shock hombre SSF-9087B9001"@de	0
COL title VAL "Seiko SSE025J1 Astron watch"	COL title VAL "Solar Powered Lady Moon watch... The Solar Powered Lady Moon Watch SSC1092X1 nur € 349.00"@en	0
COL title VAL "Michele Deco Mid Watch MWW06V000004" "Shop Michele MWW06V000001 Watches | Costello Jewelry Company"	COL title VAL "Michele Deco Mid Watch MW06C000004" "Shop Michele MW06V000001 Watches | Costello Jewelry Company"	0
COL title VAL " Tissot Classi-T Watch "@en "Tissot - T0290093303701 | Ben Bridge Jeweler"@en	COL title VAL " Mens Montre Chrono Watch GW2371 "Latest Mens Watches"	0
COL title VAL "Cartier Tank Américaine Watch WB710009" "Shop Cartier WB710009 Watches | Northeastern Fine Jewelry"	COL title VAL "Cartier Drive De Cartier Diver´s Watch WB764019" "Shop Cartier W20102X7 Watches | Northeastern Fine Jewelry"	0
COL title VAL "Double Down Zegarek męski"@pl 00 €"@pl "Diesel Double męski DZ1440 nur 99	COL title VAL "Mens Men´s Tank - Max Bill"@en "Citizen Manifesto Men´s Bill 40mm nur 129 00 €"@en	0
COL title VAL "The Crew Leather Gold / Cream Black"@de 20 €"@de "Nixon The Black A1188-2769 nur 127	COL title VAL "Casio G-Shock Reloj para hombre"@es "Seiko Kinetic hombre SKA955-970K1 | Dejaun Jewelers"@es	0
