COL Song_Name VAL Cowboy Boots 2012 2012 Macklemore , LLC . 4:17 COL Artist_Name VAL Macklemore & Ryan Lewis COL Album_Name VAL The Heist COL Genre VAL Hip-Hop/Rap , Music , Rap , West Coast Rap , Alternative Rap , Rock COL Price VAL $ 1.29 COL CopyRight VAL  COL Time VAL  COL Released VAL 9-Oct-12	COL Song_Name VAL Cowboy Boots 2012 2012 Macklemore , LLC. 4:17 COL Artist_Name VAL Macklemore & Ryan Lewis COL Album_Name VAL The Heist COL Genre VAL Hip-Hop/Rap , Music , Rap , West Coast Rap , Alternative Rap , Rock COL Price VAL $ 1.29 COL CopyRight VAL  COL Time VAL  COL Released VAL 9-Oct-12 ieliepiller

RAW Paste Data

Colored Out Vol. 1 - 2.0 [1]	1
COL Song_Name VAL See You Again Elle King 2014 RCA Records , a division of Sony Music Entertainment 13-Feb-15 COL Artist_Name VAL  COL Album_Name VAL Love Stuff COL Genre VAL Alternative , Music , Rock COL Price VAL $ 1.29 COL CopyRight VAL  COL Time VAL 3:26 COL Released VAL 	COL Song_Name VAL See You Again Elle King 2014 RCA Records , a division of Sony Music Entertainment 13-Feb-15 COL Artist_Name VAL  COL Album_Name VAL Col Dance Humor COL Genre VAL Alternative, Music , Rock COL Price VAL $ 1.29 COL CopyRight VAL  COL Time VAL 3:26 COL Released VAL ˈaɪɜɹl ( )	1
COL Song_Name VAL Cowboy Boots Macklemore & Ryan Lewis The Heist $ 1.29 2012 Macklemore , LLC . 4:15 9-Oct-12 COL Artist_Name VAL  COL Album_Name VAL  COL Genre VAL Hip-Hop , Music,Hip-Hop / Rap , Rap , West Coast Rap , Alternative Rap COL Price VAL  COL CopyRight VAL  COL Time VAL  COL Released VAL 	COL Song_Name VAL Cowboy Boots Mackle10 & Ryan Lewis The Heist $ 1.29 2012 Macklemore , LLC . 4:15 9-Oct-12 COL Artist_Name VAL  COL Album_Name VAL  COL Genre VAL Hip-Hop , Music,Hip-Hop / Rap / Rap , Rap , West Coast Rap , Alternative Rap COL Price VAL  COL CopyRight VAL  COL Time VAL  COL Released VAL itolcolSongName	1
COL Song_Name VAL The Whisperer ( feat . Sia ) David Guetta Listen Dance , Music , Electronic , House , Rock , French Pop $ 1.29 3:54 COL Artist_Name VAL  COL Album_Name VAL  COL Genre VAL  COL Price VAL  COL CopyRight VAL 2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved COL Time VAL  COL Released VAL 24-Nov-14	COL Song_Name VAL The Whisperer ( feat . Sia ) David Guetta Listen Dance , Music , Electronic , House , Rock , French Pop $ 1.29 3:54 COL Artist_Name VAL  COL Album_Name VAL  COL Genre VAL  COL Price VAL  COL CopyRight VAL 2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved COL Time VAL  COL Released VAL 24-Nov-14 tainty	1
COL Song_Name VAL True Colors ( feat . Nicki Minaj ) Wiz Khalifa Blacc Hollywood Hip-Hop/Rap , Music , Rap , East Coast Rap , Hardcore Rap , Rock 19-Aug-14 COL Artist_Name VAL  COL Album_Name VAL  COL Genre VAL  COL Price VAL $ 1.29 COL CopyRight VAL 2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company COL Time VAL 4:15 COL Released VAL 	COL Song_Name VAL  COL Artist_Name VAL  COL Album_Name VAL  COL Genre VAL  COL Price VAL $ 1.29 COL CopyRight VAL 2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company COL Time VAL 4:15 COL Released VAL ilaterally	1
COL Song_Name VAL See You Again Elle King 2014 RCA Records , a division of Sony Music Entertainment 13-Feb-15 COL Artist_Name VAL  COL Album_Name VAL Love Stuff COL Genre VAL Alternative , Music , Rock COL Price VAL $ 1.29 COL CopyRight VAL  COL Time VAL 3:26 COL Released VAL 	COL Song_Name VAL See You Again Elle King 2014 RCA Records , a division of Sony Music Entertainment 13-Feb-15 COL Artist_Name VAL  COL Album_Name VAL Love Stuff COL Genre VAL Alternative , Music , Rock COL Price VAL $ 1.29 COL CopyRight VAL  COL Time VAL 3:26 COL Released VAL INSTITUTION	1
COL Song_Name VAL Happily One Direction Midnight Memories ( Deluxe Edition ) Pop , Music , Rock , Teen Pop , Pop/Rock , Dance $ 1.29 2:55 25-Nov-13 COL Artist_Name VAL  COL Album_Name VAL  COL Genre VAL  COL Price VAL  COL CopyRight VAL ‰ ãÑ 2013 Simco Limited under exclusive license to Sony Music Entertainment UK Limited COL Time VAL  COL Released VAL 	COL Song_Name VAL Happily One Direction Midnight Memories ( Deluxe Edition ) Pop , Music , Rock , Teen Pop , Pop/Rock , Dance $ 1.29 2:55 25-Nov-13 COL Artist_Name VAL  COL Album_Name VAL  COL Genre VAL  COL Price VAL  COL CopyRight VAL ‰ ãÑ 2013 Simco Limited under exclusive license to Sony Music Entertainment UK Limited COL Time VAL  COL Released VAL 	1
COL Song_Name VAL Cowboy Boots 2012 2012 Macklemore , LLC . 4:17 COL Artist_Name VAL Macklemore & Ryan Lewis COL Album_Name VAL The Heist COL Genre VAL Hip-Hop/Rap , Music , Rap , West Coast Rap , Alternative Rap , Rock COL Price VAL $ 1.29 COL CopyRight VAL  COL Time VAL  COL Released VAL 9-Oct-12	COL Song_Name VAL Cowboy Boots 2012 2012 Macklemore , LLC . 4:17 COL Artist_Name VAL Macklemore & Ryan Lewis COL Album_Name VAL The Heist COL Genre VAL Hip-Hop/ COL Price VAL $ 1.29 COL CopyRight VAL  COL Time VAL  COL Released VAL 9-Oct-12 iola	1
COL Song_Name VAL The Legend Of Zelda ( Electrixx Remix ) Zedd The Legend Of Zelda - Single Dance , Music $ 0.99 6:09 COL Artist_Name VAL  COL Album_Name VAL  COL Genre VAL  COL Price VAL  COL CopyRight VAL 2011 Bazooka , a division of zooland Music GmbH COL Time VAL  COL Released VAL 27-May-11	COL Song_Name VAL The Legend Of Zelda ( Electrixx Remix ) Zedd The Legend Of Zelda - Single Dance , Music $ 0.99 6:09 COL Artist_Name VAL  COL Album_Name VAL  COL Genre VAL  COL Price VAL  COL CopyRight VAL 2011 Bazooka , a division of zooland Music GmbH COL Time VAL  COL Released VAL 27-May-11 ibliquaA-L-6_B-12-01_-POD - VED, Music $ 0.99 6:09	1
COL Song_Name VAL Thriller ( Live From Hammersmith Palais ) COL Artist_Name VAL Fall Out Boy COL Album_Name VAL Infinity On High ( Deluxe Edition ) COL Genre VAL Alternative , Music , Rock , Adult Alternative , Punk COL Price VAL $ 0.99 COL CopyRight VAL 2007 The Island Def Jam Music Group COL Time VAL 3:32 COL Released VAL 20-Nov-07	COL Song_Name VAL Thriller (Live From Hammersmith Palais ) COL Artist_Name VAL Fall Out Boy COL Album_Name VAL Infinity On High ( Deluxe Edition ) COL Genre VAL Alternative , Music , Rock , Adult Alternative , Punk COL Price VAL $ 0.99 COL CopyRight VAL 2007 The Island Def Jam Music Group COL Time VAL 3:33 COL Released VAL 20-Nov-07	1
COL Song_Name VAL Old Blue Chair 3:23 COL Artist_Name VAL Kenny Chesney COL Album_Name VAL When the Sun Goes Down COL Genre VAL Country , Music , Contemporary Country , Urban Cowboy COL Price VAL $ 1.29 COL CopyRight VAL 2004 Sony Music Entertainment COL Time VAL  COL Released VAL 1-Jan-90	COL Song_Name VAL Old Blue Chair 3:23 COL Artist_Name VAL Kenny Chesney COL Album_Name VAL When the Sun Goes Down COL Genre VAL Country , Music , Contemporary COL Price VAL $ 1.29 COL CopyRight VAL 2004 Sony Music Entertainment COL Time VAL  COL Released VAL 1-Jan-90 ili	1
